名無し＠18歳未満の入場禁止 無断転載禁止<>age<>2023/05/17(水) 20:14:35.97 ID:9OLfL/TG0<> えっちじゃん <>スバルのソーセージ争奪戦 	
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:02.09 ID:P3C+U2Pg0<> 試合の○ンポが良すぎる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:02.60 ID:uOJJSB5Z0<> メルさん質です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:04.62 ID:JEv2N2UW0<> 高級肉のBOW <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:04.68 ID:DdqJ7ZpA0<> こより最強！！！！！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:05.10 ID:BQTb35u70<> ソーセージの一礼 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:04.72 ID:U+im+qqw0<> 惜しくも、だろ <br> 奇しくもじゃねえよスバル <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:05.52 ID:M8pQAYei0<> 何だろう….何だこの空気感 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:06.11 ID:MXV/DBKS0<> 二度とくんなよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:06.19 ID:Ddoi+Hlo0<> どう見てもピンクのディルド <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:06.11 ID:Y4EFP+Rv0<> このスピード感1時間で終わるだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:06.51 ID:30bdQKSe0<> 　　　　　　／｜　｜　　　　　　　　　　　　　　　　　　　　 ｜　｜＼ <br> 　　　　　/　　 ?ー‘　　 γ⌒ヽ　　　＿__　　 γ⌒ヽ.　　　?ー‘　　?. <br> 　　　　　|　　　　　　　　（=-=ﾆ）　　 ?、ノ　　 （=-=ﾆ）　　　　　　　　|　 <br> 　　　　　?、　　　　　　　 `＝-′　 ._／＼_,. 　`＝-′　　　　　　　/ <br> 　　　　　　＼　　　　　　　・・　　　　　　　　　　 ・・　　　　　　　　／ <br>  <br> 　　　　　　　　　　　　　　　　コレ = コヨノ <br> 　　　　　　　　　　　　　　　[Kore Koyono] <br> 　　　　　　　　　　　　 (2021～2023 サバンナ) <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:06.28 ID:XmIUJ3Bn0<> メルメルかわいい <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:06.82 ID:8qluXsii0<> 草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:07.51 ID:p9l5uvit0<> ねねみたいに大騒ぎするメンツが足りないよ&#128557; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:08.54 ID:0oyutlCZ0<> 泣かないで <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:08.36 ID:ofZCS0Ph0<> 終わっちゃった… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:09.34 ID:fQeWux720<> 漢の1先なの？これ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:09.38 ID:uZZWwgye0<> メルさんダブルミーニングです天才です <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:09.73 ID:0eOuHsqm0<> 質終わりました <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:09.86 ID:+SkZbOEl0<> ３０分で終わるなこれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:09.85 ID:Ucx6dO9P0<> ねねち明日もゼルダやるとかハマってんな。ゴッフィー大会もあるのに <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:10.19 ID:FFuCnw5z0<> メルさん謎です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:10.86 ID:UVOUHhla0<> ござるのガチ悲鳴&#128525;&#128525;&#128525;&#128525;&#128525;&#128525;&#128525;&#128525; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:10.74 ID:0RK1SCn+0<> なぁすまん <br>  <br>  <br>  <br> 5軍詰め合わせパックで試合前に1軍主催のポケモン大会討伐するのやめてくれませんか？ <br>  <br> https://i.imgur.com/ry9ahh3.jpeg <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:10.97 ID:M7rvztwd0<> 怖くなってきたなこれより地味な画面のゴっフィー大会が <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:12.08 ID:DdqJ7ZpA0<> こよりどりゃああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:12.27 ID:hm3MoHOE0<> <a href="../test/read.cgi/livemegami/1684322075/7" rel="noopener noreferrer" target="_blank">&gt;&gt;7</a> <br> 言っても速攻で流される <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:12.08 ID:t9tTFDwx0<> Qコナミがサイゲを訴えたらどうしますか? <br> Aにじアン「ホロライブとカバーを叩きます」 <br>  <br> 617  1 名前:火星で死ぬ名無し＠転載禁止 (ﾜｯﾁｮｲ 921b-cf34)  Mail:sage 投稿日:2023/05/17(水) 18:46:10 ID:lq.POGV.00 <br> KONAMIはいままでよく我慢したよむしろ <br> えにからもそろそろ後追いパクリストーカー企業のカバーを訴えていいと思う <br> カバーの後追いパクリがひでえもん <br> 何でもにじさんじの後追いパクリばっかじゃん <br>  <br> えにからとKONAMIで被害者同士思うことがあったのかもしれんなぁ・・ <br>  <br> そのまま <br> ホロライブ→サイゲ <br> にじさんじ→KONAMI <br>  <br> の構図じゃん <br>  <br> KONAMIがんばれ！！ <br> パクリゴミ企業に負けるな <br>  <br> 709  1 名前:火星で死ぬ名無し＠転載禁止 (ﾜﾝﾐﾝｸﾞｸ 7cd5-9180)  Mail:sage 投稿日:2023/05/17(水) 18:52:22 ID:H0vVMwb.MM <br> ホロガイがサイゲを擁護してるけどなんでや？ <br>  <br> 775  2 名前:火星で死ぬ名無し＠転載禁止 (ﾜﾝﾐﾝｸﾞｸ 7cd5-9180)  Mail:sage 投稿日:2023/05/17(水) 18:57:13 ID:H0vVMwb.MM <br> ホロガイがKONAMIをボロクソ叩いてるやん <br>  <br> 911 名前:火星で死ぬ名無し＠転載禁止 (ﾜｯﾁｮｲ 24da-cf34)  Mail:sage 投稿日:2023/05/17(水) 19:03:20 ID:M8018NyE00 <br> KONAMI叩きしてるやつが過去レス見るとホロガイばっかなの気になるわ <br>  <br> 1571  1 名前:火星で死ぬ名無し＠転載禁止 (ﾜｯﾁｮｲ 24da-cf34)  Mail:sage 投稿日:2023/05/17(水) 19:28:45 ID:M8018NyE00 <br> サイゲがホロライブと似てるって事実言っただけでキレる謎のガイジはなんなん？？&#128553; <br>  <br> 1857  1 名前:火星で死ぬ名無し＠転載禁止 (ﾜｯﾁｮｲ 24da-cf34)  Mail:sage 投稿日:2023/05/17(水) 19:38:11 ID:M8018NyE00 <br> なんか変なホロガイが必死に絡んでくるのキモいなぁ&#128560; <br>  <br> 1879 名前:火星で死ぬ名無し＠転載禁止 (ﾜｯﾁｮｲ 24da-cf34)  Mail:sage 投稿日:2023/05/17(水) 19:39:11 ID:M8018NyE00 <br> パクリ上等！ <br> パクった上に起源主張しまーす！w <br>  <br> サイゲとホロライブの手口じゃん&#128553; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:12.48 ID:dAJMFqZs0<> メルちゃん泣いてます <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:12.60 ID:hFPmxL0V0<> こよの擬人化ソーセージなんとも言えんな、アレ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:13.27 ID:x9wKmAkr0<> もう終わり？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:13.45 ID:08xFZMCh0<> スバルすまん、これはつまらないわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:13.62 ID:GZI8GvUk0<> どういうこと？？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:13.52 ID:ipYri4bL0<> マリメとソセレどっちが楽しい？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:13.86 ID:CCKcBzlw0<> メルさんの質不発・・・ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:14.58 ID:E9UrQ/KT0<> メルさん敗退で誰が質出すんだよ・・・ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:15.45 ID:eMkJH8Do0<> えっ、もう終わったの･･･？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:16.15 ID:VPFMoA+j0<> うーん&#129300; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:18.09 ID:7F57QOMH0<> <a href="../test/read.cgi/livemegami/1684322075/28" rel="noopener noreferrer" target="_blank">&gt;&gt;28</a> <br> 二度と口を開くな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:19.40 ID:qnoG11Eg0<> クソつま <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:19.84 ID:tUTx2OEy0<> ソセレって名前で大喜利するゲームだよな <br> どんな顔して試合見れば良いのか分からない <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:21.60 ID:2syJMDeJ0<> よっさんレアなかったし辛いだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:22.38 ID:i5W0lMV90<> メルさん勝って欲しかったよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:24.00 ID:DdqJ7ZpA0<> スバル、これおもろいわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:24.15 ID:+US7zpUp0<> こよりのソーセージ色キモいな… <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:24.80 ID:4EspPAcj0<> なあ <br>  <br>  <br>  <br>  <br> 課金ずるくね？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:25.59 ID:aV/OgrLE0<> メルさんちゃんと意味ありました <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:26.30 ID:qM66qkxK0<> …うん。 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:26.97 ID:Mw6nKz3t0<> 実況もクソもない試合スピードだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:27.04 ID:nsLUx69R0<> メルさん無です <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:27.76 ID:PbmDcx9P0<> お前ら「尊重」な？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:27.62 ID:N175mooX0<> もう質なくなった <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:28.60 ID:7VJfjb500<> なんていうか手作りのB級大会感があってええやん <br> これぞ古き良きホロライブって感じ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:28.76 ID:obKdpb+T0<> スバル盛り上げ下手じゃね？ <br> こういうときに大声出せよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:29.14 ID:D4IpG90V0<> こんこよおもしれー！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:32.65 ID:3pFCbn+f0<> <a href="../test/read.cgi/livemegami/1684322075/69" rel="noopener noreferrer" target="_blank">&gt;&gt;69</a> <br> マリメ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:32.93 ID:nJb7HUu+0<> 小学生かよ <br> くそつまんねぇな <br> まあ尊重するけど <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:33.45 ID:p7lFkh+30<> ござるが良いよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:34.06 ID:Qn9vaiA+0<> 大会唯一の質持ちが今、消えました… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:34.42 ID:Lai2pCFy0<> これ1時間以内に余裕で終わるな <br> 出場するより放流狙った方がおいしいわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:34.94 ID:IB4E9pdc0<> 面白いとかつまんねーとかじゃねえんだよ <br>  <br>  <br> 小林は前世からソーセージレジェンドの動画出してたぐらい好きなゲームなんだよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:34.99 ID:KECERaUs0<> なんか熱いBGMかけてや <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:35.59 ID:EMf5FWZQ0<> メルさん終わった&#128557; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:36.26 ID:DdqJ7ZpA0<> こよりどりゃあああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:36.45 ID:JChYpXUu0<> これやっぱ控室扱いでさかまた枠あったほうがよかったな… <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:37.09 ID:uZZWwgye0<> 拘束時間短すぎるｗｗ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:37.88 ID:8S8GNRzq0<> 2本先取とかでよかったんじゃ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:38.60 ID:fqUO5Kfq0<> テンポ良！数字良！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:39.80 ID:ryLjDDzC0<> まずは見守ろうな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:41.43 ID:t2x6wum20<> <a href="../test/read.cgi/livemegami/1684322075/63" rel="noopener noreferrer" target="_blank">&gt;&gt;63</a> <br> 消してください <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:42.24 ID:4N26SaYF0<> 画面見てなかったんだけど高級肉の棒ってなに？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:41.93 ID:jOrHrCUA0<> ガイドライン触れるとか触れないとかはどうでもいいけど <br> みことか山田みたいな問題起こしまくりのやつが触れるのは気持ち悪いって話なんじゃ？ <br> 郡道がこんなガイドライン引用したらお前何言うてんねんってなるのと同じ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:44.78 ID:0AlfWbgD0<> なにこれダイジェスト？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:45.29 ID:30bdQKSe0<> 2019年のホロライブだわこれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:46.91 ID://nB2hiw0<> つまんない方が残っちゃった <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:47.82 ID:DtroLHdd0<> こよりの声めっちゃ響く <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:48.26 ID:DdqJ7ZpA0<> こよりで6万登山 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:49.11 ID:lUoDjCi20<> お前ら <br>  <br>  <br>  <br>  <br>  <br> 見守れよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:52.38 ID:SslD20qE0<> これ何が面白いの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:52.59 ID:l7A1WXKx0<> でもこれ多分ゴッフィーより画面映えはするよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:54.06 ID:p9l5uvit0<> メルさん枠立てて凸待ちかぶせてくれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:54.53 ID:1W0BVFGi0<> 裏で叫んでるござるもいいよー <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:55.35 ID:7Hy3QVot0<> スバルの企画つまんなくね？ござる見るわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:56.44 ID:cNiMnchW0<> マジで一瞬すぎるし駆け引きもわからん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:57.86 ID:HXcO6vGO0<> あのガイドラインに触れてないホロメンは、 <br> 華や数字を持った人間が多い <br>  <br> ↓ <br>  <br> 天皇 <br> あくあ <br> シオン <br> あやめ <br> ちょこ <br> スバル <br> ミオ <br> おかゆ <br> ころさん <br> ぺこら <br> マリン <br> フレア <br> かなたそ <br> ラミィ <br> ねねち <br> ポルカ <br> 沙花叉 <br> ござる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:58.32 ID:qnoG11Eg0<> メルさん終わりならなんか配信してくれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:15:59.15 ID:DdqJ7ZpA0<> こよりで6万いったな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:58.94 ID:zvqaQHN80<> こういうのでいいんだよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:59.06 ID:M4TjpGHW0<> 早漏バトル過ぎるだろwwww <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:15:59.49 ID:62sgwc930<> 歯茎うるさすぎね？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:16:04.27 ID:MXV/DBKS0<> お前らこれ見て笑ってんの？やばない？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:16:06.17 ID:PUwTdpXq0<> ソセレつまらない <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:16:06.63 ID:UWbUZYuc0<> 大会とは名ばかりでちょっとした企画なんだからお前らももっも気軽に見ろよ&#128517; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:16:07.09 ID:aV/OgrLE0<> メルさんにBGM監修してもらえよ <br> なんか盛り上がりに欠けるわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:16:08.87 ID:xk1CrIY10<> 大会にねねちいないって不思議な感じ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:16:10.23 ID:P3C+U2Pg0<> お前らスバルを見守ってくれ <br>  <br> 成功は当然のものではありません。 <br> 頑張っていても、最初は上手くいかないことや、成長に時間がかかることもあると思います。 <br> そんなとき、失敗したことを取り上げるのではなく「頑張れ」「次はきっと上手くいく！」と、応援してください。 <br> その応援が「推し」の心の支えになります。 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:16:10.76 ID:LQtC3Vo/0<> しゃかまた枠たてて待機凸待ちしろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:16:10.81 ID:uWrWh/uD0<> ゲーム性がイマイチだから盛り上がらんな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:16:10.72 ID:vnCeC2P40<> 質無しチンポ大会 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:16:10.76 ID:iHejCbuB0<> ＢＧＭないとシュールに拍車がかかるな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:16:11.24 ID:+US7zpUp0<> ちゃんと解説してて草、ぺっさん見習え <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:16:12.20 ID:rn8i+wws0<> メルさんいなくなったので見る価値なくなっちゃった <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:16:12.39 ID:JGkl61Mg0<> ゲーム音ないとシュールだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:16:13.84 ID:Na6n+s260<> ルーナイト村はまずい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:16:17.37 ID:7Hy3QVot0<> スバルの企画つまんなくね？ござる見るわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:16:17.75 ID:ccgSD/PH0<> まだアキロゼとノエルとこよりがいる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:16:19.75 ID:x9wKmAkr0<> 出場者少ないしすぐ終わりそう… <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/17(水) 20:16:20.31 ID:cwlEUJgt0<> ホロスタとはお絵かきしてくれないんだ <br> https://i.imgur.com/ngCKOF4.jpg <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/17(水) 20:16:20.69 ID:hm3MoHOE0<> スバル…そういうとこだわ <br> クソゲーとわかりきってるんだからせめてBGMで盛り上げようとかしようや <>
