名無し＠18歳未満の入場禁止 無断転載禁止<>age<>2023/04/07(金) 21:44:00.77 ID:8dWA6wXM0<> でゃまれ！ <>かわ余 	
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:45:09.75 ID:8sSFkH090<> それラミィの！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:11.25 ID:YUzGEhgt0<> カバーはほしまちカレーを正式に商品化するべき <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:13.93 ID:meAgwEAq0<> かわ余なんかイマイチだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:13.98 ID:RCoEJhzv0<> あーーみたい <br> みこちとロベルがイチャイチャコラボして <br> ロベみこが大流行して <br> 35P死滅する光景がみたい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:14.49 ID:5rpGbHCy0<> やろがい！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:16.17 ID:OnrNNONo0<> ぺっさん出ないのにぷよテトかよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:16.76 ID:FNHu7Iwj0<> 大使大便者です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:17.32 ID:AHqSRIZU0<> あまみやが調べてそうな単語 <br> 「ホロライブ　中の人　実年齢」 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:45:19.34 ID:HIe1c6C+0<> 早くホロスタトラップ仕掛けないと <br> 配信上にダミーコード載せて本当のコードはメン限投稿にしておいて <br>  <br> あめみや「参加型！？しゅばばばばばば」 <br> ？？？「ホロメンだと思った？残念！アルランディスでした～ｗ」 <br>  <br> これでいくしかない <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:20.52 ID:AXnHezZb0<> 大便者&#12316;&#129392; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:24.02 ID:ssGNKC8u0<> ござるもぷよテトやってんじゃん <br> たいよう来たか？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:23.77 ID:YUZjbfq30<> <a href="../test/read.cgi/livemegami/1680871440/23" rel="noopener noreferrer" target="_blank">&gt;&gt;23</a> <br> だんごさんなら許せる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:26.72 ID:vJiqjfwn0<> <a href="../test/read.cgi/livemegami/1680871440/23" rel="noopener noreferrer" target="_blank">&gt;&gt;23</a> <br> ちゃんとファンだったしな <br> 投げ銭だけじゃなくイベントにもグッズにも金落とす良客だった <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:27.48 ID:BjSzSF8f0<> 大便者はすいせいやろがい！！！！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:45:27.74 ID:SIceU1ZZ0<> みこち灼熱歌うならこの流れだぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:33.83 ID:BXZsVsOt0<> かわ世って電波ソングだよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:36.59 ID:ahlvrdeV0<> <a href="../test/read.cgi/livemegami/1680871440/15" rel="noopener noreferrer" target="_blank">&gt;&gt;15</a> <br> マリ箱忘れてる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:42.61 ID:PNirm6ww0<> https://i.imgur.com/uiG5LhJ.jpg <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:43.46 ID:g4cyfKcS0<> <a href="../test/read.cgi/livemegami/1680871440/54" rel="noopener noreferrer" target="_blank">&gt;&gt;54</a> <br> 一生見れなさそう <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:44.00 ID:xI7G8jbh0<> ころさんかわ余 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:44.97 ID:h+XzqqdN0<> かもにぇ～ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:46.72 ID:7wk37zAM0<> かわせ <br> かわ世 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:48.06 ID:yOskYsB10<> かもにぇ～ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:48.80 ID:sho4pVzp0<> あめだんごさんやめてください&#128557; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:49.43 ID:DQShk6vq0<> <a href="../test/read.cgi/livemegami/1680871440/48" rel="noopener noreferrer" target="_blank">&gt;&gt;48</a> <br> どうせ無理なのにすいちゃんの名前出して数字集めようとする魂胆丸見えだよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:49.90 ID:EBvLi7AF0<> てんたいって言え <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:45:51.42 ID:sxZTFtfL0<> ころさん配慮が足りてません <br> リルビ（ロボロボ(ロボ子さん(ホロライブ0期生)の愛称)の曲）と書くべきです <br> https://i.imgur.com/0HB5BBR.jpg <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:45:58.84 ID:4AOWv39/0<> <a href="../test/read.cgi/livemegami/1680871440/58" rel="noopener noreferrer" target="_blank">&gt;&gt;58</a> <br> ござるにもしゅばったんだろ？その線はないよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:45:59.63 ID:F4vqcCDn0<> なんでこれ歌った？ <br> サビがどこかもわからんぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:00.55 ID:M+P7xAr50<> <a href="../test/read.cgi/livemegami/1680871440/29" rel="noopener noreferrer" target="_blank">&gt;&gt;29</a> <br> 歌い方変えてるのは喜ぶだろうけど <br> 借り物精神あるから歌詞変えてるのは駄目だと思うわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:02.03 ID:vJiqjfwn0<> ねねちのうっせぇわが思った以上にアレでガッカリしたの思い出す <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:02.11 ID:L9sli3sD0<> 俺はフブちゃんのリスナー対戦待ちに来てフブちゃんがぶちぎれしてるとこ見たかった <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:02.36 ID:JR6/0t930<> <a href="../test/read.cgi/livemegami/1680871440/63" rel="noopener noreferrer" target="_blank">&gt;&gt;63</a> <br> あめみやがグッズ買えばコーチング権が許されるってことか！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:03.09 ID:hYb0T5zQ0<> <a href="../test/read.cgi/livemegami/1680871440/38" rel="noopener noreferrer" target="_blank">&gt;&gt;38</a> <br> 帝京平成大学が消されてない時点で問題無いわな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:03.63 ID:+VtrHkc30<> みこち質の登山です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:03.90 ID:+tdg2I+X0<> <a href="../test/read.cgi/livemegami/1680871440/30" rel="noopener noreferrer" target="_blank">&gt;&gt;30</a> <br> あるよ <br> ぺこらがバイオ村歌ったら <br> カットされた <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:06.00 ID:YlsLYQUn0<> 灼熱くるのかなぁ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:06.43 ID:prdkRisA0<> 途中お姉さん声出ちゃったな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:07.10 ID:g4cyfKcS0<> メンシ乞食にキレてます… <br> https://i.imgur.com/0NPTkwO.jpg <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:07.08 ID:XIXW+TGA0<> みこち思いっきり声出せばいいのに <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:46:07.58 ID:ZF6X+Tyv0<> 35pだけど、みこちとロベルのアンバサダーコラボ待ってるね&#129392; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:46:07.82 ID:3XqiHXMY0<> <a href="../test/read.cgi/livemegami/1680871440/58" rel="noopener noreferrer" target="_blank">&gt;&gt;58</a> <br> あまみやて若いんだっけ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:08.32 ID:e6jVcEsf0<> かわ余もヴァロで6000まで数字落としてたな・・・ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:09.76 ID:j8Egj+cg0<> <a href="../test/read.cgi/livemegami/1680871440/63" rel="noopener noreferrer" target="_blank">&gt;&gt;63</a> <br> だった <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:09.97 ID:RCoEJhzv0<> みこちなんか髪型違和感あるの俺だけ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:12.31 ID:+64HYCIy0<> てゃまご！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:12.31 ID:JJkVjnM40<> <a href="../test/read.cgi/livemegami/1680871440/23" rel="noopener noreferrer" target="_blank">&gt;&gt;23</a> <br> 評価はしないが何回もシュバらない時点でマシだったな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:46:13.60 ID:S66VbqDJ0<> 3期ライブ当たらなければまだファンでいてくれただろうか・・・ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:13.94 ID:05k7diW90<> <a href="../test/read.cgi/livemegami/1680871440/23" rel="noopener noreferrer" target="_blank">&gt;&gt;23</a> <br> あれは特別扱いしたからだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:16.64 ID:sJjMvvIi0<> <a href="../test/read.cgi/livemegami/1680871440/77" rel="noopener noreferrer" target="_blank">&gt;&gt;77</a> <br> 厳しいな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:17.04 ID:doCzPuCj0<> <a href="../test/read.cgi/livemegami/1680871440/58" rel="noopener noreferrer" target="_blank">&gt;&gt;58</a> <br> 体重も調べてる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:26.67 ID:ZRQN0XoV0<> <a href="../test/read.cgi/livemegami/1680871440/63" rel="noopener noreferrer" target="_blank">&gt;&gt;63</a> <br> 3期生ライブにも行ってたのは草だった <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:26.98 ID:TitJru2J0<> なぁ、コナンの映画いつにもましてギャグ映画なんだが <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:29.50 ID:oJAys/5x0<> うっせえわってもう2年半も前の曲なんだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:30.26 ID:1pzBkKpE0<> <a href="../test/read.cgi/livemegami/1680871440/68" rel="noopener noreferrer" target="_blank">&gt;&gt;68</a> <br> このスプーンってコラ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:35.41 ID:DFIyp7P/0<> みこち、うっせえわ合ってるな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:36.27 ID:PNirm6ww0<> 地震 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:41.19 ID:cdogQvND0<> あんま開示実績ないから仕方ないけど <br> このスレ最近殺すとか首吊れとか簡単に言いすぎじゃね？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:46:41.97 ID:lSd80o+L0<> <a href="../test/read.cgi/livemegami/1680871440/23" rel="noopener noreferrer" target="_blank">&gt;&gt;23</a> <br> あいつもカスやん <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:46:42.56 ID:43PYC+Nt0<> よころしたい <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:46:43.95 ID:IH0QrMiB0<> みこの選曲センス好きなんだよな <br> 直近だとたそにエゴロックとかマジで俺得過ぎた <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:44.52 ID:fcitIRuA0<> みこちこの路線で行けば歌枠でも開花しそうだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:45.66 ID:r/8EXpHH0<> 余のオリ曲はじゃんけぽんのやつが好きだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:46:48.81 ID:S66VbqDJ0<> <a href="../test/read.cgi/livemegami/1680871440/68" rel="noopener noreferrer" target="_blank">&gt;&gt;68</a>　野菜ジャガイモだけ？？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:49.99 ID:F4QMFAV/0<> かわ世かわ余でした <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:46:57.03 ID:q1ga1fJ40<> <a href="../test/read.cgi/livemegami/1680871440/48" rel="noopener noreferrer" target="_blank">&gt;&gt;48</a> <br> は？何も普通にすいせいに勝つとは言ってないんだが <br> しぐれういでも勝てたホールド縛りすいせいに勝つのが現実的な目標だろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:46:58.24 ID:9OBSD5DU0<> 待って <br>  <br> ころさん可愛すぎない？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:46:58.75 ID:KzX43bXM0<> みこちの歌枠で伸びるの初めてみた　 <br>  <br> 歌枠楽しいよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:47:00.13 ID:nSedAwu70<> うーん… <br> https://i.imgur.com/LXlf1BG.jpg <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:01.04 ID:QQrxZa/d0<> みこち溜まってんにぇ… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:02.18 ID:KB3xnP8e0<> <a href="../test/read.cgi/livemegami/1680871440/104" rel="noopener noreferrer" target="_blank">&gt;&gt;104</a> <br> まだって感じもする <br> ado凄すぎ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:02.28 ID:m4N3+MIX0<> ころさんあやめる好きだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:05.07 ID:DQShk6vq0<> <a href="../test/read.cgi/livemegami/1680871440/108" rel="noopener noreferrer" target="_blank">&gt;&gt;108</a> <br> 見たことないけど <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:05.20 ID:t/r/EgrY0<> <a href="../test/read.cgi/livemegami/1680871440/89" rel="noopener noreferrer" target="_blank">&gt;&gt;89</a> <br> ファンの有り様を押し付けるなよ <br> いろんなファンが居るんだよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:05.59 ID:DFIyp7P/0<> <a href="../test/read.cgi/livemegami/1680871440/15" rel="noopener noreferrer" target="_blank">&gt;&gt;15</a> <br> さくらかぜ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:47:11.05 ID:hpjetVeq0<> かわ余～&#128525; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:11.91 ID:xnoLxONT0<> ノエルアーホンチェア買いました <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:12.45 ID:Tjf6YBgP0<> <a href="../test/read.cgi/livemegami/1680871440/102" rel="noopener noreferrer" target="_blank">&gt;&gt;102</a> <br> そして絶望したと <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:16.17 ID:HKnbmQLJ0<> <a href="../test/read.cgi/livemegami/1680871440/68" rel="noopener noreferrer" target="_blank">&gt;&gt;68</a> <br> 星街家のカレーにじゃがいもって入るの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:19.25 ID:lWTdcDwU0<> リルビ（ロボロボのオリ曲）でクソワラタ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:21.12 ID:g4cyfKcS0<> <a href="../test/read.cgi/livemegami/1680871440/124" rel="noopener noreferrer" target="_blank">&gt;&gt;124</a> <br> いろんな乞食… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:21.10 ID:j8Egj+cg0<> <a href="../test/read.cgi/livemegami/1680871440/108" rel="noopener noreferrer" target="_blank">&gt;&gt;108</a> <br> 俺が捕まるわけじゃないしなんでもいいかな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:24.42 ID:YUZjbfq30<> <a href="../test/read.cgi/livemegami/1680871440/89" rel="noopener noreferrer" target="_blank">&gt;&gt;89</a> <br> 何も言い返せなかったわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:25.46 ID:cdogQvND0<> <a href="../test/read.cgi/livemegami/1680871440/123" rel="noopener noreferrer" target="_blank">&gt;&gt;123</a> <br> 今日だけで3回は見たな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:32.07 ID:JYPtdYPJ0<> お前らすいちゃんのカレーに直筆サイン入ってるかもしれないの知らんやろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:32.15 ID:6PIg7bp70<> ぷよぷよって蓋されたあとの切り返しどうすんの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:32.78 ID:F4QMFAV/0<> ころねすてらーすてらー <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:33.23 ID:cNmjhxyG0<> かわ余には括弧書きないの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:33.54 ID:MAoNCIJQ0<> ステラーステラー！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:47:36.59 ID:S66VbqDJ0<> これぺこちゃんやばくね？？？マイクラに変えたほうがいいのでは？？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/04/07(金) 21:47:36.79 ID:ZpHvU9st0<> それみこちの曲！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/04/07(金) 21:47:36.80 ID:RAkyw01v0<> ステラステラきたたあああああああああああ <>
