名無し＠18歳未満の入場禁止 無断転載禁止<>age<>2023/08/18(金) 23:40:31.05 ID:qqFV2MvU0<> &#128003; <>牛 	
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:02.31 ID:AEPcfIdw0<> シノブが好感持てる裏方なのはわかるけどホロスタ見ると優秀とはいえないよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:03.54 ID:bFQRUieM0<> この人ボニーピンクは歌わないの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:04.05 ID:0898bIAV0<> 知らない曲うまいな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:04.15 ID:HOd2WxBh0<> 参考 <br>  <br> にゃにゃせ1048 <br> すいすい1037 <br>  <br> 討伐済です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:04.09 ID:A2RhIc1u0<> セレちゃんの歌い方俺はあんまり好きじゃないけど華はあると思う <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:04.89 ID:aXltJasv0<> 本日の最高同接です <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:06.50 ID:hLhxXxuj0<> 1054更新か？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:07.42 ID:Pug2r+Qk0<> 牛なの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:08.42 ID:hxxD+SUO0<> 相変わらず上手いなあ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:08.78 ID:vjIMEQFf0<> この歌い方は万人受けしないわな <br> 正直バズらなさそう <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:09.82 ID:9dKIy8EF0<> 俺ツンボなんだけどすいちゃんセレーナどっちがうまい？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:12.88 ID:PXxODalX0<> バリウム歌枠リレー <br> トリをセレちゃんが歌ってます <br> 集合して下さい <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:13.28 ID:vtPvKNlm0<> よく見たらおっぱいでけえ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:13.65 ID:qS3wu9LF0<> セレちゃんははよメンシ解禁しろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:14.99 ID:X2cAR4m40<> 素晴らしい&#128548; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:16.37 ID:xEsIffdQ0<> しぐれういの美魔女10000しか出てないけどなんで？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:18.80 ID:HJI79+2o0<> バリの告知って何くるの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:18.66 ID:ehUT7+fg0<> かるび案件飛ばしたっぽいけどなにやらかしたんだ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:19.59 ID:Hux9ZOM70<> ちゃんと上手いから知らんくても聴いてられるわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:21.24 ID:onHgFAt60<> 気持ちいいわ歌声が <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:21.57 ID:Qrr0OavM0<> セレちゃんうおおおおおおおおおおおおお <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:23.95 ID:V+5Ri3vI0<> セレちゃんが伸びなかったら世の中嘘だろこれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:24.45 ID:BUuM1z700<> セレちゃんに教えられちゃうううぅ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:26.31 ID:2D+jaJ010<> コーン切り捨てたから推せない <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:26.34 ID:Re0Q7yyv0<> 1000連発とか感無量だわ&#128546; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:26.48 ID:3DnQLdNr0<> いい加減通報してくるわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:27.35 ID:QXL7t8c50<> すいちゃん～&#128557;&#128557; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:28.17 ID:ng3WkupI0<> 椎名林檎と神聖かまってちゃんだからセレちゃんの中ではメジャー曲選んでるんだ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:30.12 ID:io9G4B910<> <a href="../test/read.cgi/livemegami/1692369631/24" rel="noopener noreferrer" target="_blank">&gt;&gt;24</a> <br> にゃにゃせも上手いけど流石に相手が悪い <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:30.15 ID:erMHKTUD0<> <a href="../test/read.cgi/livemegami/1692369631/31" rel="noopener noreferrer" target="_blank">&gt;&gt;31</a> <br> すいすい <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:30.65 ID:dHKqIFlm0<> おっぱいブルンブルン <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:31.43 ID:AkiK/fHT0<> ビブラート気持ち良すぎだろ！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:31.17 ID:0DMsFmQ50<> ぺこらってMGS3やってなかったっけ？ <br>  <br> 気のせいか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:32.08 ID:b3gnthzc0<> セレちゃんとにぃながバリウムの王だな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:34.37 ID:porV0FcI0<> ひこさんのサムネくそ気合入ってんなぁ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:34.86 ID:AYoOA+/q0<> すいちゃん死んじゃった… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:36.75 ID:yNprALPn0<> セレちゃん歌知らなくてもずっと聞けるのすげぇよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:38.77 ID:yeSHMmqU0<> <a href="../test/read.cgi/livemegami/1692369631/25" rel="noopener noreferrer" target="_blank">&gt;&gt;25</a> <br> 俺も本来なら苦手なタイプの歌い方だけど今日の選曲には合ってるわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:39.84 ID:FLQiw98A0<> バリ歌が質ぽいのでちゆ殿だけ見るわ&#129306; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:41.63 ID:X2cAR4m40<> 1061どりゃああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:41.84 ID:vdxyQBiF0<> <a href="../test/read.cgi/livemegami/1692369631/33" rel="noopener noreferrer" target="_blank">&gt;&gt;33</a> <br> 普通にほくろにしか目いかないよね <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:41.85 ID:G/qerVTc0<> バリウムに収まる器じゃねえぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:42.51 ID:06ZAardy0<> <a href="../test/read.cgi/livemegami/1692369631/53" rel="noopener noreferrer" target="_blank">&gt;&gt;53</a> <br> うん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:44.17 ID:UsbkhIQW0<> しらけんのすいちゃんはかわいいのなんで？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:44.66 ID:Ht6cF5h/0<> vtuberの歌で初めて素人のカラオケレベル抜けてると思う <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:44.73 ID:31rtiqfv0<> バリウムが育っていくのが楽しい <br> バリウム箱推し楽しすぎだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:45.07 ID:YA1b0All0<> セレちゃん曲の歌詞ないとこのコーラス？みたいなのめっちゃ気持ちよく歌ってくれるから好き <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:47.14 ID:aXltJasv0<> にゃにゃせがまたヘラる～&#128557; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:47.24 ID:1jm9CuGX0<> ライドリやらせなかった運営有能だわ <br> 閉じコンにしていい質じゃない <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:47.53 ID:O8tJdKxJ0<> バリ実況するんならurl貼れよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:48.41 ID:biMok6fs0<> <a href="../test/read.cgi/livemegami/1692369631/46" rel="noopener noreferrer" target="_blank">&gt;&gt;46</a> <br> こいつら流石にライン越えたな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:50.45 ID:PBhB01FS0<> 新作のコメ数えるゲームやってるフブポル楽しそうです <br> 二人は <br> https://i.imgur.com/NkBpyul.png <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:50.55 ID:70H7cQWj0<> バリウム <br>  <br>  <br> 日に日に強くなってます <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:41:51.19 ID:6JVkzOgR0<> セレちゃんにかっこいいオリ曲あげてよ <br> ちゃんとやれば絶対売れる子だろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:54.35 ID:K8ryG+1k0<> <a href="../test/read.cgi/livemegami/1692369631/31" rel="noopener noreferrer" target="_blank">&gt;&gt;31</a> <br> ナハーハ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:58.55 ID:erMHKTUD0<> すいちゃん消えた？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:41:59.27 ID:LgUOJzsH0<> <a href="../test/read.cgi/livemegami/1692369631/54" rel="noopener noreferrer" target="_blank">&gt;&gt;54</a> <br> うめるしあは？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:01.08 ID:Qrr0OavM0<> 教科書どおりじゃなく想像を超えてくるんよな <br> セレちゃんの歌は <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:01.81 ID:YBTzVuJN0<> セレちゃんさぁおじさんでも知ってる曲歌ってよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:03.60 ID:4CS0EbUw0<> セレちゃんの歌聴いてるとゾクゾクする&#129392; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:03.51 ID:rJIGY7Uc0<> めっちゃうめーな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:05.34 ID:9ZT6dZAp0<> セレーナはエロ画像ファンアートかかれたら <br> すいちゃんみたいに激怒するタイプだろ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:06.19 ID:cK87yfVA0<> もう通報してるわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:08.02 ID:2YGbHGgL0<> バリウムが俺らの力で伸びてるのがわかる気持ちいいよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:08.50 ID:5vVKdgLu0<> マジでなんでこんな逸材が弱小箱にいっちまったんだ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:10.56 ID:HOd2WxBh0<> 完全に1100射程圏内だわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:10.80 ID:dK+W3eUa0<> セレちゃんすげぇガンガン登山するな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:10.83 ID:JBEr53zT0<> 選曲が良くないな <br> まずみんな知ってる曲歌え <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:11.30 ID:XXiu67Y50<> <a href="../test/read.cgi/livemegami/1692369631/53" rel="noopener noreferrer" target="_blank">&gt;&gt;53</a> <br> アーカイブが戻せないからもう1回やる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:11.64 ID:PaLjPGRp0<> まあセレちゃんはいつも通りで既存リスナーにとって意外性はないな <br> どっちかと言うとナハすいの質に震えた <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:12.46 ID:dflrS/9u0<> <a href="../test/read.cgi/livemegami/1692369631/31" rel="noopener noreferrer" target="_blank">&gt;&gt;31</a> <br> 全盛期のすいちゃんなら甲乙付け難いというかそれぞれ魅力あったけど <br> 今の喉がカスになってるすいちゃんじゃどう足掻いても勝てない <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:14.22 ID:bFQRUieM0<> Vaundyこいよおおおおおおおおおおお <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:14.29 ID:9dKIy8EF0<> えるたその歌→圧が強すぎて苦手 <br> セレーナの歌→歌い方が苦手 <br>  <br> 俺ってもしかして弱男？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:14.40 ID:StyqE2QA0<> <a href="../test/read.cgi/livemegami/1692369631/36" rel="noopener noreferrer" target="_blank">&gt;&gt;36</a> <br> 本格的にホロのコンテンツ飽きられとるんかね <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:15.80 ID:Q/ZhoLo60<> &#129326; <br> https://i.imgur.com/uOJ2sN9.jpg <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:17.88 ID:xRTZYq890<> 予約 <br> 知らん曲 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:18.16 ID:ULOnP8/k0<> <a href="../test/read.cgi/livemegami/1692369631/70" rel="noopener noreferrer" target="_blank">&gt;&gt;70</a> <br> <a href="../test/read.cgi/livemegami/1692369631/4" rel="noopener noreferrer" target="_blank">&gt;&gt;4</a> <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:18.95 ID:z2ZQgRWc0<> ばりうむ伸びてきたな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:19.85 ID:vdxyQBiF0<> 知らない曲どりゃあああああ！！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:19.76 ID:bC7cEd3s0<> バリウムを強くしているのは俺ら <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:20.86 ID:kqo/7LXv0<> 知らない曲どりゃあああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああ！！！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:22.01 ID:AYoOA+/q0<> <a href="../test/read.cgi/livemegami/1692369631/64" rel="noopener noreferrer" target="_blank">&gt;&gt;64</a> <br> 喋らないから <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:22.31 ID:gMpU7YRV0<> ヨルシカどりゃああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:24.15 ID:6JVkzOgR0<> 知らん曲どりゃああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:24.44 ID:KTuCIAWK0<> リレートリに復帰バフ有りだもんな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:25.33 ID:Q0SIf68z0<> 知らない曲どりゃああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:26.17 ID:4vNi/Yt20<> ホロでこの子に対抗できるのすいせいだけだわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:26.96 ID:xxFzQAfE0<> <a href="../test/read.cgi/livemegami/1692369631/50" rel="noopener noreferrer" target="_blank">&gt;&gt;50</a> <br> その子幼女声でボソボソ歌ってるだけだよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:28.98 ID:q89a6UCI0<> なんかあくあみたいな声が聞こえる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:30.30 ID:vwo7g6Yc0<> カバーはいい加減ここ開示しとけよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:30.88 ID:HOd2WxBh0<> ヨルシカらしい <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:30.65 ID:4qoXWt/+0<> 靴の花火好き <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:31.04 ID:WEeg8msp0<> <a href="../test/read.cgi/livemegami/1692369631/64" rel="noopener noreferrer" target="_blank">&gt;&gt;64</a> <br> 妹だから <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:31.29 ID:pK503mKo0<> ガチで知らない曲しか来ない <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:32.38 ID:0898bIAV0<> 知らない曲どりゃああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:34.90 ID:ArMZBQOh0<> 半分見えちゃったはエロすぎだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:34.49 ID:yoPbWhxu0<> 知らん曲三段突き <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:36.32 ID:9ZT6dZAp0<> ヨルシカヨルシカ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:36.84 ID:JS9kAe520<> 知らん曲しかない <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:37.94 ID:54z3k8YC0<> ヨルシカどりゃ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:39.00 ID:aikppi1s0<> <a href="../test/read.cgi/livemegami/1692369631/77" rel="noopener noreferrer" target="_blank">&gt;&gt;77</a> <br> セレちゃんの次に配信やります <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:40.14 ID:Re0Q7yyv0<> にゃにゃせはめちゃめちゃライバル視してそうではある <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:43.22 ID:gjsbP6jG0<> すいちゃんほんとクソガキやな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:44.03 ID:gvPsv6RA0<> なんだこの曲？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:44.46 ID:X2cAR4m40<> また知らん曲どりゃああああああああああああああ&#128548; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:44.51 ID:DGy14PEf0<> バリウムは俺が育てた <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:45.52 ID:erMHKTUD0<> <a href="../test/read.cgi/livemegami/1692369631/93" rel="noopener noreferrer" target="_blank">&gt;&gt;93</a> <br> まあ好き嫌いは分かれそう <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:45.89 ID:ng3WkupI0<> セレちゃん定番のヨルシカ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:46.62 ID:wfb+T9cu0<> うええ <br> https://i.imgur.com/QXgpYy3.png <br> https://i.imgur.com/rF8oPf9.png <br> https://i.imgur.com/EMMReRv.png <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:48.21 ID:Bs3/B42E0<> バリウムで1000超えれるのってにぃなと歌リレーくらい？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:49.70 ID:AEPcfIdw0<> にゃにゃせが集めた1000人だぞ <br> にゃにゃせがあそこで人集めなきゃセレちゃんも1000いってない <br> 誇れ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:49.83 ID:1PO+WEZa0<> ちゃんと個性もあるし今風な洋楽っぽい歌い方だしあとはまじで見つかるかどうかだけだろこれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:50.02 ID:+UKjR/Wq0<> <a href="../test/read.cgi/livemegami/1692369631/12" rel="noopener noreferrer" target="_blank">&gt;&gt;12</a> <br> るるちゃんの自殺配信でも歌うか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:50.51 ID:fHOdH6Vr0<> ヨルシカどりゃああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:51.54 ID:HJI79+2o0<> <a href="../test/read.cgi/livemegami/1692369631/21" rel="noopener noreferrer" target="_blank">&gt;&gt;21</a> <br> ホロスタは存在自体が失敗だからシノブのポジションが誰であっても今以上になってるってことはないんじゃない？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:51.55 ID:O8tJdKxJ0<> <a href="../test/read.cgi/livemegami/1692369631/97" rel="noopener noreferrer" target="_blank">&gt;&gt;97</a> <br> ありがとう&#128522; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:52.01 ID:4CS0EbUw0<> セレちゃん、知らん曲です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:53.14 ID:rzz1tt2f0<> クリープハイブとか歌ってくれるVいないの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:53.56 ID:lLUZFn4Z0<> 靴の花火どりゃりゃああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:54.11 ID:pK503mKo0<> <a href="../test/read.cgi/livemegami/1692369631/122" rel="noopener noreferrer" target="_blank">&gt;&gt;122</a> <br> そういうのいいじゃん <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:54.56 ID:QXL7t8c50<> しらけん質です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:55.57 ID:onHgFAt60<> お前ら知らな過ぎだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:55.57 ID:ET2nnEGh0<> 俺も提出してくるわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:55.96 ID:pIg/NV8j0<> セレちゃんはバリウムの至宝だ&#129394;&#128079; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:56.71 ID:wo26gO+w0<> 知らねえええええええええ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/18(金) 23:42:56.96 ID:4EWZnc5I0<> しらけんだけめっちゃ手が込んでるな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:57.53 ID:Qrr0OavM0<> セレちゃん1100いけっぞ！！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:58.55 ID:EYjkh+DJ0<> フロントメモリーはにゃにゃせの方が好きよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/18(金) 23:42:58.52 ID:sR42z10D0<> <a href="../test/read.cgi/livemegami/1692369631/42" rel="noopener noreferrer" target="_blank">&gt;&gt;42</a> <br> 能力ある人が上に行けるとは限らないからな <br> Vに限らず <>
