名無し＠18歳未満の入場禁止 無断転載禁止<>age<>2023/09/10(日) 15:01:16.70 ID:By2TBTaT0<> 苗字知らないけど <>奏たそファンスレ 	
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:02:46.31 ID:iyRo8tou0<> いいかげんぺこ～らベースで何でも伸ばせばいいって愛称の決め方やめろや <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:02:47.03 ID:zVcxaLV30<> 竹島がどこの領土か言え！&#128545; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:02:47.07 ID:cvi+SNHi0<> ソース追えてないんやが韓国在住なん？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:02:48.44 ID:tYuyOemx0<> んなあああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:02:50.93 ID:9cNmD6Mj0<> 35Pって韓国嫌ってそう <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:02:51.44 ID:mEiPTCmi0<> ACおいたん出撃時間だぞ！ <br> 早く集合しろこの役立たず共が！！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:02:51.52 ID:Vh6gWXER0<> 笑える <br>  <br> 韓国人「日本映画、韓国で1位、2位、3位独占　史上初」→「韓国映画はマジで危機だね」「腹が立つけど代替作品がないんだよ！！！」 <br> https://i.imgur.com/SFZLspy.jpg <br> https://i.imgur.com/PkOss9Y.png <br> https://i.imgur.com/8gLqiKJ.png <br> https://i.imgur.com/eMdFM0y.png <br> https://i.imgur.com/Y7VryS9.png <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:02:52.03 ID:1lF+my/l0<> かなーでって韓国人だけど信用できる？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:02:52.79 ID:dRxaCyXv0<> 嫌韓ジジイ「歴史ガー！無知な若者ガー！」 <br>  <br>  <br> そんで奏はなんか悪いことしたの？なんか関係あんの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:02:56.15 ID:gC0aHgT20<> (&#5153; o&#820;&#822;&#823;&#804; &#65228; o&#820;&#822;&#823;&#804; &#5153;)奏たその新衣装がチマチョゴリだったらどうする？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:02:56.85 ID:e7eXwSk70<> んなっ！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:02:57.74 ID:fllro1pt0<> バトンタッチ覚えとかなきゃスバルラヴェンツァに勝てなくね？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:02:57.76 ID:QPqV/g8i0<> ルーナの固定コメ、優しく教えろくださいで草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:03.06 ID:pNanWtu50<> みーちゃんくそえっちやん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:03.57 ID:9Fnr1ZGx0<> 京まふ行かなきゃな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:04.50 ID:ysCI0b5a0<> 今回のマルイのイラスト良いね <br> しかしぺっさんまじでグッズ多すぎや <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:05.18 ID:tMmggF7A0<> <a href="../test/read.cgi/livemegami/1694325676/44" rel="noopener noreferrer" target="_blank">&gt;&gt;44</a> <br> いやーだ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:06.57 ID:pj3Yg/l30<> 韓国アンチは四期生アンチ <br> https://twitter.com/nekotail843/status/1699341308970864958 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:08.55 ID:99ejgJsW0<> 一昨年の撮れ高大賞ってぺこらの鳥人間だっけ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:11.21 ID:3hzjBmWs0<> マハサイオ持ちペルソナいるのは良かったけどバトンタッチ繋ぐための攻撃アイテム全然無いな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:11.70 ID:nrJpsW6l0<> <a href="../test/read.cgi/livemegami/1694325676/32" rel="noopener noreferrer" target="_blank">&gt;&gt;32</a> <br> どういう意味の“俺ら“なんだ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:03:13.36 ID:gmOxAjoE0<> んなもこ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:03:14.44 ID:AQZhAZiJ0<> 珍しくお前らルーナみるんだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:16.31 ID:tumUCyKl0<> 新人のアンチ活動で忙しいのかぺこみこのアンチが大人しいな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:17.32 ID:vc9+iQuq0<> んなみこぉ！！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:22.38 ID:zVcxaLV30<> <a href="../test/read.cgi/livemegami/1694325676/52" rel="noopener noreferrer" target="_blank">&gt;&gt;52</a> <br> あの…反日教育受けてますｗ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:22.48 ID:mYO2pY1u0<> REGLOSSの集合絵だと青が一番よかったから騙されるとこだったわ&#128549; <br> 今日はらでんを劇推ししていく&#128548; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:03:23.05 ID:hT0AHx2/0<> 普通の日本人 ￥10000 <br>  <br> 竹島はどこの領土か答えてください <br>  <br> ↑これきたらどうすんの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:28.78 ID:He+MdwkW0<> なのなのらって何？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:30.24 ID:e6uovtrp0<> そもそも今のネトウヨは安倍ちゃんが日米豪印のクアッド出してからは韓国を潜在的な同盟国と見てる <br> 嫌韓流時代の感覚のまま韓国アンチやってる老害ネトウヨと一緒にされると困るんだわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:03:30.52 ID:/T7ehec+0<> かなでたそ切り抜き40万再生どりゃああああああああああああああ <br> 登録者数もトップになりました <br>  <br> https://youtube.com/watch?v=4Wo_7Jmt_sc&si=VasjU0VT6I7ntMwX <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:03:30.44 ID:bYEg/K8F0<> <a href="../test/read.cgi/livemegami/1694325676/35" rel="noopener noreferrer" target="_blank">&gt;&gt;35</a> <br> ころさんはゲーム愛あるから投げないのがいいね <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:30.94 ID:0ZhV/rP10<> 朴奏 <br> 李奏 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:31.93 ID:Q+kcQnXV0<> <a href="../test/read.cgi/livemegami/1694325676/43" rel="noopener noreferrer" target="_blank">&gt;&gt;43</a> <br> 読者　購買者　だよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:32.44 ID:TKFbQiQf0<> 【何故ホロアン民は反日親韓反ホロ親バリウムが多いか】 <br>  <br> VTuberファンは弱男が多い <br> 弱男は社会を逆恨みする嫌儲反日が発生しやすい <br> 嫌儲反日は反日仲間の韓国が好き <br> また嫌儲反日弱男は金持ちを嫉妬で憎み嫌うので <br> 大きく育ったカバーと金持ちになったホロメンを邪悪な成金と逆恨みをして <br> 弱小マイナーなぶいありうむ等の弱箱を愛する <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:03:32.40 ID:ivhF9R0N0<> アーマードんなこりゃどりゃああああああああああああああああああああああああああああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:34.32 ID:U8H13r7I0<> んなああああああああああああああああああああああぁぁぁい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:35.52 ID:eMc1hHPX0<> 韓国のトンカツ見てみ！俺の拳と比べてデカイだろ！ <br> https://i.imgur.com/1xZCL2P.jpg <br>  <br> 横から見るとw <br> https://i.imgur.com/VHwgCte.jpg <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:37.51 ID:e7eXwSk70<> んなあああああああああああああああああああああああああああああああああああい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:37.51 ID:9Fnr1ZGx0<> んなあああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:37.91 ID:IwRTuzrE0<> <a href="../test/read.cgi/livemegami/1694325676/53" rel="noopener noreferrer" target="_blank">&gt;&gt;53</a> <br> 乳出しなら歓迎するよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:39.28 ID:rbWm7nAR0<> んなあああああああああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:39.70 ID:Vy8m7wbV0<> んなあああああああああああああああああああああああああああああああああああああい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:40.25 ID:eSW8a5pN0<> んなあああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:41.87 ID:Bo2wZ7P70<> んなあああああい <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:03:44.93 ID:iXFjMIIN0<> <a href="../test/read.cgi/livemegami/1694325676/50" rel="noopener noreferrer" target="_blank">&gt;&gt;50</a> <br> キムチビンタ映画作ろう！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:45.04 ID:BTrg65Hc0<> まだ春の親父倒してなかったのか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:45.61 ID:vc9+iQuq0<> <a href="../test/read.cgi/livemegami/1694325676/71" rel="noopener noreferrer" target="_blank">&gt;&gt;71</a> <br> ブロック一択やん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:46.18 ID:mEiPTCmi0<> うなーぃ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:03:48.18 ID:SopUbYkA0<> ネトフリのマスクガール面白かった <br> 韓国にこそvtuberは必要だと感じた <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:49.13 ID:Y9pM/YQz0<> んなんなすっか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:49.96 ID:Vs2DOQf40<> <a href="../test/read.cgi/livemegami/1694325676/71" rel="noopener noreferrer" target="_blank">&gt;&gt;71</a> <br> そんなの独島だよ！って言っておしまいじゃん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:50.91 ID:rbWm7nAR0<> んなたん右に移動しました <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:51.46 ID:3EW+ww/x0<> <a href="../test/read.cgi/livemegami/1694325676/46" rel="noopener noreferrer" target="_blank">&gt;&gt;46</a> <br> そもそもまだ正式に何人かすら言ってないから落ち着け <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:51.68 ID:Pf36U9W00<> <a href="../test/read.cgi/livemegami/1694325676/71" rel="noopener noreferrer" target="_blank">&gt;&gt;71</a> <br> それJPホロメンでも答えないぞアホ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:52.88 ID:Cat7l4Qo0<> でも日本は韓国に酷い事をしたよね <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:03:54.60 ID:tYuyOemx0<> おりゅ～ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:54.79 ID:aQUV991X0<> エッチ…か？ <br> https://i.imgur.com/oSi0Tvq.png <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:57.24 ID:3hzjBmWs0<> <a href="../test/read.cgi/livemegami/1694325676/55" rel="noopener noreferrer" target="_blank">&gt;&gt;55</a> <br> 2周目やらせるとか来年も埋まるじゃん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:57.34 ID:iHFbpabb0<> んなあああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:03:58.75 ID:SGBEVaVM0<> こんにぃな～←これえっちじゃね？ <br> にぃな喘がせたら絶対こんな声出すよね <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:01.02 ID:vc9+iQuq0<> おちんぽひめきちゃー！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:03.41 ID:C4GltYUr0<> おいかなたそのスパチャ既に80万行ってるぞ <br> これは400万位行くか？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:04:04.26 ID:K5YdDFvG0<> みーちゃんエッド <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:05.00 ID:e7eXwSk70<> んなたん今日始まるの早いな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:07.74 ID:EJZVVrUe0<> 政治の話やめて <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:08.82 ID:OGRWx6Vj0<> ホロアンも国籍チェックしたほうがいいな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:04:09.88 ID:2zBS04kt0<> はじめにbetする奴居ないのかよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:10.54 ID:9Fnr1ZGx0<> 新人に被せろ姫森ルーナ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:04:12.32 ID:gC0aHgT20<> <a href="../test/read.cgi/livemegami/1694325676/51" rel="noopener noreferrer" target="_blank">&gt;&gt;51</a> <br> (&#5153; o&#820;&#822;&#823;&#804; &#65228; o&#820;&#822;&#823;&#804; &#5153;)竹島（独島）の所在を明らかにするまでは信用できない <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:13.25 ID:QJWfMvUS0<> あの奏の切り抜き40万再生突破しました超バズっています・・・ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:04:13.57 ID:AQZhAZiJ0<> このルーナの絵リゼロみたいでいやなんだよなぁ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:04:13.74 ID:cu73ShY40<> <a href="../test/read.cgi/livemegami/1694325676/25" rel="noopener noreferrer" target="_blank">&gt;&gt;25</a> <br> さんきゅー <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:14.13 ID:qQQ1ZkaW0<> 音乃瀬奏（&#51020;&#45236;&#47280;&#51452;） <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:04:15.10 ID:xqcmw12z0<> んなきたよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:04:15.64 ID:K4dp1/O80<> ミトラはなんでシレンじゃなくてトルネコ2やってんだよ <br> だからダメなんだよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:16.40 ID:U8H13r7I0<> みーちゃんFC2まだ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:18.35 ID:7ufoLQ2/0<> んな！んな！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:22.15 ID:mEiPTCmi0<> ルーナドラクエは？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:21.84 ID:oPcb5o9u0<> <a href="../test/read.cgi/livemegami/1694325676/97" rel="noopener noreferrer" target="_blank">&gt;&gt;97</a> <br> じゃあ何でスレこんな事になってんの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:04:22.81 ID:Ki72citp0<> 契約内容をホロライブと別物にするために別箱作ったって可能性はあるな <br> 上手くいったら今後はデバイスだけ新人追加だ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:24.79 ID:Yv1Qz9hy0<> スタフィーは？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:04:26.38 ID:wpNzne1E0<> 儒烏風亭らでん&#128026;ReGLOSS @juufuuteiraden (2023/09/10 14:59:55) <br> みんな何も見てない、いいね？ <br> http://twitter.com/juufuuteiraden/status/1700750934379532640 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:28.08 ID:wkMQrAux0<> あてぃしスプラッシュ(^)o(^) <br> &#128166;奏 <br>  <br> 湊 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:28.72 ID:fllro1pt0<> <a href="../test/read.cgi/livemegami/1694325676/102" rel="noopener noreferrer" target="_blank">&gt;&gt;102</a> <br> え？やらないの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:28.58 ID:JCSjZXNl0<> 狛犬うめ&#127760;&#128062; @komaiume (2023/09/10 14:48:45) <br> &#128153;このあと19時から&#128153; <br>  <br> &#727;&#715;&#719;　ツッコミ王！　&#718;&#714;&#727; <br> ~変な画像になんでやねん~ <br>  <br> なんでやねんする&#10024; <br> 変な画像が沢山でてくるみたい！ <br> ツッコミ力を鍛えるんだ(*´&#42155;`*) <br>  <br> #VTuberを発掘せよ <br> #Vtuber推し探しにどうぞ <br>  <br> ▽待機場所▽ <br> https://youtu.be/vh_u4a1rY5c <br> https://pbs.twimg.com/media/F5pFZXzbMAA4PD9.jpg <br> http://twitter.com/komaiume/status/1700748124069994687 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:04:32.02 ID:gC0aHgT20<> <a href="../test/read.cgi/livemegami/1694325676/84" rel="noopener noreferrer" target="_blank">&gt;&gt;84</a> <br> (&#5153; o&#820;&#822;&#823;&#804; &#65228; o&#820;&#822;&#823;&#804; &#5153;)慰安婦かよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:34.24 ID:EW0oATHx0<> 青くんを擁護しようとしたらひょっとこと呼ばれる呪いひどいな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:43.81 ID:NsQ5Uy9D0<> 時間切れじゃなくて全滅するのおもろいわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:46.39 ID:ISBcQsT70<> アーマードコア有識者はやっぱパトラだなぁ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:46.79 ID:439pgNj10<> <a href="../test/read.cgi/livemegami/1694325676/91" rel="noopener noreferrer" target="_blank">&gt;&gt;91</a> <br> ？ <br> 新人がそんな事していいの？ますますリスナーからの信頼を失うけど <br> 今は信頼を集める時期なんじゃないかな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:51.25 ID:pj3Yg/l30<> ひょっとこフェラ嫌い <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:04:55.49 ID:dRxaCyXv0<> <a href="../test/read.cgi/livemegami/1694325676/69" rel="noopener noreferrer" target="_blank">&gt;&gt;69</a> <br> 日本語喋れて日本のサブカル好きならフラットな視点持ってるってことだよね？ <br> 反日教育を受けたらそれだけで罪なの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/09/10(日) 15:04:56.82 ID:Jbq4+s0c0<> んなああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/09/10(日) 15:04:58.81 ID:TJtH52wb0<> このままだと反日ライブになりそうだな <br> 愛国心のあるホロメン推してくから教えてくれ <>
