名無し＠18歳未満の入場禁止 無断転載禁止<>age<>2023/05/22(月) 00:22:43.97 ID:8dxB0eBD0<> (・o・&#127852;)かなルーナしか勝たん <>&#129313;今年はポルーナでいく 	
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:15.30 ID:8iE1Xjp+0<> ゼルダってダクソみたいなゲームなの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:17.26 ID:qN1ILHao0<> &#129313;… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:18.98 ID:OJwlTTge0<> 「あまねちゃはルーナのものなのら(束縛の呪い本だらけ)」 <br> &#127852;「メンヘラかよ」 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:23.01 ID:Yq6YhH3p0<> <a href="../test/read.cgi/livemegami/1684682563/48" rel="noopener noreferrer" target="_blank">&gt;&gt;48</a> <br> ※※※※※※※※※※※※ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:24.71 ID:CWcWcmBl0<> ─日本は世界から遅れを取っていた <br> ─しかし、それは過去の話だ <br> ─日本のe-sportsは次のSTAGEへ <br> Masters Tokyo 2023 - 日本開催決定 <br>  <br> 日本チーム、なし！ｗ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:25.28 ID:PJEDOYJM0<> え？　これってNTRなの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:31.99 ID:AOs2UAhy0<> お前ら何が楽しくてセックス！ <br> なんてこと言ってんの？ <br> こんなん吐き気してくるわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:33.57 ID:/xrcfqtr0<> ぽうぽうしゃべりません <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:35.32 ID:nEXy0QFc0<> ポルーナのよさは一番になれないことをどこかでわかっているくせに献身をやめられないポルカにあるから <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:35.32 ID:OdR52my60<> ホロスタってもうホロスタってコンテンツの時点で負のイメージがあるから伸びないだろ <br> お前らだってなんか電化製品買う時に、 <br> コスパが抜群にいいメーカーだったり、おすすめとかによく出たり高機能の物買うだろ <br> わざわざシャープの商品なんか選ばないだろ？ <br>  <br> だから一旦ホロスタは解散して <br> 実力のある女Vtuber転生させて、 <br> 新しい男女混合のグループつくってそこに元ホロスタメンバーを新しいキャラで転生させろ <br> ゴネるホロスタメンバーがいたらそのままのキャラ持ったままにさせて現実味させろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:37.50 ID:pwxHIdml0<> こよりが自分で混乱してるわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:38.25 ID:fIuZSzH00<> <a href="../test/read.cgi/livemegami/1684682563/36" rel="noopener noreferrer" target="_blank">&gt;&gt;36</a> <br> 2 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:24:38.82 ID:OexNBsfi0<> 草 <br> 残酷すぎる <br> どうするこより <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:38.96 ID:dzvWlFc80<> チャットエッチえぐいって… <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:24:39.72 ID:FWlB56eo0<> かなるーなはミコメットに対抗できるやよ知れぬな… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:43.62 ID:u3gZMWR20<> <a href="../test/read.cgi/livemegami/1684682563/50" rel="noopener noreferrer" target="_blank">&gt;&gt;50</a> <br> おかあさんがゼルダやってると思え <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:44.56 ID:m/DzlDri0<> これを見せられるポルカの気持ちを30文字以内で答えよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:47.54 ID:5drrlP8c0<> 嬉しいのらどりゃああああああああああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:24:47.97 ID:wtLis9cH0<> <a href="../test/read.cgi/livemegami/1684682563/58" rel="noopener noreferrer" target="_blank">&gt;&gt;58</a> <br> これ座員 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:53.44 ID:Xotbs4120<> こよりこれはアカンな <br> 風呂入ってくるわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:24:54.11 ID:FXbfPpXj0<> ゼルダ温いゲームかと思ってたけどもしかしてフロムゲーぐらい難しいのか？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:24:57.62 ID:2m4AoxFR0<> 重い女ｖｓ重い女 <br> 重い女の勝ち <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:25:00.17 ID:qudMXquq0<> ポルカ不憫すぎるお薬増えないと良いけど&#128557; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:00.33 ID:TwxSMP5e0<> こよりこれ回復食い放題でなんで死ぬんだ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:00.90 ID:81CJWMSH0<> んなデレ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:25:01.72 ID:VyXfWksW0<> <a href="../test/read.cgi/livemegami/1684682563/71" rel="noopener noreferrer" target="_blank">&gt;&gt;71</a> <br> 悲しき獣やん… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:03.20 ID:D/U3coTt0<> &#129313; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:25:04.31 ID:aJJz7WK+0<> (・o・&#127852;）天音ちゃはルーナのものなのら～ <br>  <br> &#129313;……… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:04.80 ID:ShNhPZYw0<> かなルーナいいね <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:07.09 ID:tnk+6wvh0<> かなたそ明日早起きなのにルーナのために… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:11.47 ID:bDZOjurw0<> <a href="../test/read.cgi/livemegami/1684682563/71" rel="noopener noreferrer" target="_blank">&gt;&gt;71</a> <br> エッロ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:25:12.62 ID:1P2449ns0<> かなたんあんま無理はしてほしくないんだがな、、 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:25:13.82 ID:VUj7a6km0<> <a href="../test/read.cgi/livemegami/1684682563/84" rel="noopener noreferrer" target="_blank">&gt;&gt;84</a> <br> 質量の負け <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:16.77 ID:ShNhPZYw0<> <a href="../test/read.cgi/livemegami/1684682563/86" rel="noopener noreferrer" target="_blank">&gt;&gt;86</a> <br> へたっぴゼルダ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:25:20.17 ID:gs79uV8a0<> ポルカ <br> 安らかに眠れ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:25:22.80 ID:45HwKMZp0<> チャH見ている&#129313;って発狂していない？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:26.76 ID:dzvWlFc80<> ポルちゃんいつになったら誰かの正妻になれるんだよ&#128557; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:27.21 ID:VsW5j+pU0<> 過疎ってんな <br> 開示が効いたん？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:30.35 ID:rWxHsEEZ0<> あまねちゃシリーズどんどん増えていくのら <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:30.36 ID:8AxCrhFg0<> <a href="../test/read.cgi/livemegami/1684682563/41" rel="noopener noreferrer" target="_blank">&gt;&gt;41</a> <br> 流石に関係ないだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:25:32.73 ID:qSUFt7q/0<> 深夜の王ルーナ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:32.56 ID:iUTV2cYB0<> 箱ゲーはぺっさんが何か仕掛けないと小康状態だから何かまたやってくれよ <br> ぺっさんがinしなくなってから閑古鳥だわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:34.27 ID:Z3X7iGRq0<> <a href="../test/read.cgi/livemegami/1684682563/72" rel="noopener noreferrer" target="_blank">&gt;&gt;72</a> <br> シャープに何の恨みがあるんだよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:36.05 ID:cSPoyXiY0<> んなたん係多いな今日 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:25:36.66 ID:Xt7AgWmH0<> かなルーナしかかたん…？&#129313; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:38.94 ID:K/YFPqkC0<> かなたのこと好きなのか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:43.72 ID:SeIrDTwp0<> <a href="../test/read.cgi/livemegami/1684682563/36" rel="noopener noreferrer" target="_blank">&gt;&gt;36</a> <br> 9 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:45.41 ID:qcKErWek0<> かなルーナもう二晩も過ごしてます <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:46.31 ID:pwxHIdml0<> あれだけラッシュ出来て何故二回ラッシュするという発想にならないの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:46.55 ID:1Qb8nZSL0<> <a href="../test/read.cgi/livemegami/1684682563/94" rel="noopener noreferrer" target="_blank">&gt;&gt;94</a> <br> 昨日体調悪そうだったからな&#129402; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:48.04 ID:8iE1Xjp+0<> ここってなんでホロと無関係の実況してるやついるの？ <br> そもそも人も少ないから宣伝効果すらないぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:48.32 ID:d81ZT5BV0<> かなたそ絶対配信してるよりホロメンと絡んでる方が楽しんでるよね <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:25:49.09 ID:V23dAIOn0<> あまねちゃ寝るの早い <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:49.40 ID:V4T81X4w0<> やっぱホロアンに&quot;推しの子&quot;なんて必要ねえよな… <br> これからかなポルーナで繰り広げられるのが俺たちの&quot;リアリティーショー&quot;だからな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:52.23 ID:D/U3coTt0<> 座員もっと集まれよ待機弱いぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:53.92 ID:zqHajtbp0<> ンナハハハハハハハハハハハハハｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:25:55.88 ID:RZsLx4Di0<> あまねちゃはシャチ捨てたのら？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:25:57.62 ID:33sG1pRl0<> んなたんのｵﾌﾄｩﾝ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:25:58.37 ID:VUj7a6km0<> <a href="../test/read.cgi/livemegami/1684682563/100" rel="noopener noreferrer" target="_blank">&gt;&gt;100</a> <br> 勢い5万は過疎じゃねえだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:25:59.68 ID:OexNBsfi0<> 草 <br> 笑わせるな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/05/22(月) 00:25:59.37 ID:XgxmeonE0<> 枠消そう <br> 誰も責めない <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:26:00.10 ID:O/MsQxE20<> <a href="../test/read.cgi/livemegami/1684682563/48" rel="noopener noreferrer" target="_blank">&gt;&gt;48</a> <br> 正気か？&#128560; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:26:00.64 ID:qN1ILHao0<> ルーナイト鉄の15500人 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:26:01.16 ID:sAnfGCFW0<> ルーナにもオフトゥンあるのか… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:26:01.50 ID:8+HTO0OO0<> オフトゥン！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:26:11.41 ID:3vCb4uc90<> (・o・&#127852;)「金！金！金！金くれ金くれ金くれ！」 <br> &#129313;「しゃーねーなぁ…」 <br> &#128171;「はいどうぞ&#12316;&#10084;」 <br> &#129313;「えっ！？」 <br> &#127852;&#128171;「&#10084;&#10084;&#10084;」 <br> &#129313;「・・・」 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:26:19.08 ID:AhGbQTCa0<> すまんかなルーナってもしかして「真実」？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:26:20.39 ID:/WzeMnxE0<> <a href="../test/read.cgi/livemegami/1684682563/104" rel="noopener noreferrer" target="_blank">&gt;&gt;104</a> <br> ARKはそんな感じだったけど <br> マイクラは今どろけんが色々やってんじゃないの <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:26:22.63 ID:K120vxTi0<> そういやぺこらが負けだしてからデイリー1位がどうのって言われなくなったよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:26:29.01 ID:dzvWlFc80<> あールーナイトと寝落ちもちもちしてえ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:26:29.23 ID:ShNhPZYw0<> <a href="../test/read.cgi/livemegami/1684682563/128" rel="noopener noreferrer" target="_blank">&gt;&gt;128</a> <br> 泣いた <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:26:29.44 ID:guO9pIZA0<> <a href="../test/read.cgi/livemegami/1684682563/57" rel="noopener noreferrer" target="_blank">&gt;&gt;57</a> <br> ひなまつりも勧めとくわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:26:33.21 ID:iHET6DR70<> <a href="../test/read.cgi/livemegami/1684682563/72" rel="noopener noreferrer" target="_blank">&gt;&gt;72</a> <br> &gt;実力のある女Vtuber転生 <br>  <br> それならホロに転生させた方が遥かにいいだろ <br> にじはハズレ値だと思って男Vは諦めるべき <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:26:35.29 ID:QlfmY6Pd0<> <a href="../test/read.cgi/livemegami/1684682563/128" rel="noopener noreferrer" target="_blank">&gt;&gt;128</a> <br> これよく考えたら <br> かなたもまつりにやられてたな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:26:37.12 ID:K/YFPqkC0<> <a href="../test/read.cgi/livemegami/1684682563/125" rel="noopener noreferrer" target="_blank">&gt;&gt;125</a> <br> 半分はかなたのだが <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/05/22(月) 00:26:39.12 ID:2psyzG9A0<> <a href="../test/read.cgi/livemegami/1684682563/36" rel="noopener noreferrer" target="_blank">&gt;&gt;36</a> <br> たその隣 <>
