名無し＠18歳未満の入場禁止 無断転載禁止<>age<>2023/03/12(日) 20:24:18.57 ID:irsmnAHg0<> つまり？ <>大谷すごい 	
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:24:38.58 ID:/vRjN2Qd0<> さあ満塁村上 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:38.45 ID:Fg5TfX+N0<> 自己肯定感が上がる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:39.04 ID:hJxOrFUV0<> 押し出しで観客がガッカリするとか異常だよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:24:39.19 ID:98qyKAuO0<> 敬遠か <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:40.89 ID:4Lijlol80<> お前らはただのニートだよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:41.28 ID:ihztCAt90<> 1点で抑えたな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:41.46 ID:lPF+wk6u0<> ゲッツーで5番か <br> まぁええか <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:24:43.01 ID:Ab6xace70<> ベーブルースかな？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:44.62 ID:ohMOnYCn0<> ルーナ変態仲間になります <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:44.54 ID:6hDmDYUo0<> 村上グラスラくっぞ！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:44.84 ID:frZJfhxZ0<> 村上！お膳立ては整ったぞ！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:45.94 ID:8yaSMlTz0<> 村上コールド出来たら許すよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:45.65 ID:pUsW43zo0<> セブンからのやつか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:47.77 ID:bzGDmI4g0<> 敬遠気味だったな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:47.73 ID:fuuI6Ojx0<> 村上様ホームランどりゃああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:48.07 ID:TmzI2yv+0<> 村っちきたあああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:24:48.94 ID:OztwtdwA0<> 相手ピッチャーの方がはるかにプレッシャーかかってるのに <br> これ打てなかったから逆に怖いわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:49.82 ID:r9rK+AR10<> 村上か… <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:24:51.92 ID:pUs47vd80<> 村上会議wwwwwwwww <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:52.99 ID:LvXKJlzn0<> <a href="../test/read.cgi/livemegami/1678620258/5" rel="noopener noreferrer" target="_blank">&gt;&gt;5</a> <br> おもちゃ使われるぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:53.54 ID:jsK/dIHj0<> 村上流石に満塁HRやわな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:54.18 ID:4jk+6pe30<> ウノちゃんの動画編集した奴素人か？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:54.10 ID:HSU5epI60<> 村上のへたっぴ打撃枠 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:24:57.71 ID:+/Dts0sO0<> 野球ジジイウゼェよ <br> どんだけ居場所無いんだよ <br> なんjにでも行けや <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:57.67 ID:gAgidi/+0<> 村上ってまだ23歳なんやろ <br> 若くね <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:57.76 ID:D1KvxIYR0<> オナニー <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:58.90 ID:IwcaZmSs0<> 村上さん！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:24:59.05 ID:oilF8dc00<> くそアンチども打率表示やめろや！！！！！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:00.78 ID:B6y7ICMW0<> 村上さん？？？？w <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:01.03 ID:Hs6vW/pt0<> すいちゃんめちゃくちゃで草 <br> でも効果はあるんだろうなこれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:02.56 ID:hZhM+FJB0<> 村上あかんか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:02.99 ID:hJxOrFUV0<> 村上にはストライク先行ww <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:03.28 ID:nogwqOir0<> 村上会議すっぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:03.58 ID:2uJ3Uo0q0<> おいフレよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:04.24 ID:/vRjN2Qd0<> ずっと見てばっかやん&#128552; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:07.91 ID:HxGqJoQ10<> ここで打たなかったらいつ打つん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:08.57 ID:gBvs2iAg0<> まずそのチャラチャラしたネックレス外せブタ！！！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:09.52 ID:DS1B2aN10<> こっちにはガッツリ勝負 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:11.05 ID:EID7XhMS0<> 村上だとストライク入れてくんの草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:12.46 ID:6hDmDYUo0<> 村上になるとストライク入るの草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:12.99 ID:0sW9oCIT0<> 村上どりゃああああああああああああああああああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:13.10 ID:iIw0dwgG0<> 白豚マジで舐められてんじゃん <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:13.18 ID:Z3Nh1bfM0<> いい加減打てよ <br> セリーグの沽券に関わる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:14.02 ID:QNQI+BZy0<> 未来からきたけど村上はみの３だったよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:14.31 ID:LvXKJlzn0<> https://i.imgur.com/cH9WjnD.jpg <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:14.99 ID:IPZSKFm60<> 野球見てるの時間もったいなくね？ <br> さすがに長すぎるわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:15.54 ID:jG0GATh70<> こよりブラボより人来てるけど  <br> こよりってゲームより歌を求められてるんだな <br> 歌が評価されてるホロメンは登録者伸びるからこれから期待だな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:15.35 ID:z/jed70f0<> こよりねっとりしすぎて草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:17.58 ID:WrFYoVDS0<> ルーナの音読かわいい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:17.51 ID:t9ISzTbX0<> とりあえず外野飛ばせば1点入るぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:18.30 ID:Dqr6A0tm0<> だりゃああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああ <br>  <br> だりゃああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:18.72 ID:Syx/Ea2U0<> 村上なんぼなんでも不調すぎる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:18.40 ID:lg22YIx80<> ポルカにカフェイン錠とブロソとチルアウト全部飲む配信してもらいたいけどどう？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:18.71 ID:tJoRel3H0<> 村上質です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:18.90 ID:HxGqJoQ10<> 草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:19.66 ID:NUKgL/l20<> おいハゲ <br> デブこら <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:20.93 ID:IwcaZmSs0<> 村上質です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:21.56 ID:RblmOJrq0<> … <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:21.93 ID:EID7XhMS0<> 草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:22.16 ID:OztwtdwA0<> は？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:22.40 ID:hJxOrFUV0<> 草草の草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:22.66 ID:4Lijlol80<> 早よ打てよこのデブ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:22.84 ID:WfETQ4Kx0<> 村上三振wwwwwwwwwwwwwwwwww <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:23.24 ID:8yaSMlTz0<> 知ってた <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:23.04 ID:EnaAELIp0<> 嘘だろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:22.90 ID:8pPlIzKL0<> 村人WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:23.45 ID:hZhM+FJB0<> 村上www <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:23.73 ID:/vRjN2Qd0<> コラッ！村上！&#128544; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:23.80 ID:B6y7ICMW0<> 村上wwwwwwwww <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:23.91 ID:chF/Kust0<> 村人やん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:23.85 ID:I7PUogQH0<> <a href="../test/read.cgi/livemegami/1678620258/12" rel="noopener noreferrer" target="_blank">&gt;&gt;12</a> <br> そもそもセブンとコークオンのコラボでチルアウトやすくなるよってのを宣伝する案件っぽいよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:24.31 ID:cWU8dRhQ0<> めちゃくちゃストライク入るやんけ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:24.44 ID:TmzI2yv+0<> 女神のアイドル村上 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:24.26 ID:u4Jucpi+0<> なんでや <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:24.32 ID:9hOJ1MG80<> クサ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:25.19 ID:Tsmu2IC90<> 草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:25.28 ID:ze+FhEd+0<> いや草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:25.57 ID:fuuI6Ojx0<> <a href="../test/read.cgi/livemegami/1678620258/38" rel="noopener noreferrer" target="_blank">&gt;&gt;38</a> <br> 消えろ雑魚 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:26.39 ID:LJDjgflu0<> これが <br>  <br>  <br>  <br> 質 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:26.70 ID:13FlPrG40<> 村上会議です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:26.52 ID:bwVbBKPz0<> ぶっちゃけ試合決まってるからここで打っても大して評価されないよね <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:27.28 ID:qncekh340<> これはへたっぴ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:27.40 ID:OUrDGlqo0<> はい。 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:28.19 ID:Dwny40l00<> なんでそれ見るんや <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:28.30 ID:YoQX8NfL0<> 知ってた <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:28.09 ID:EilytpEO0<> は？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:29.61 ID:MtaVeSZn0<> もうだめだわこの豚www <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:30.43 ID:ihztCAt90<> 4球期待してるやつなんか真ん中でええわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:30.49 ID:iIw0dwgG0<> 三振ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:30.49 ID:XivWK9F50<> 村上ー&#128557; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:30.84 ID:FvmzhPI40<> 村上そこは打てよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:31.52 ID:jhaAy0fI0<> 村上会議しないか？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:31.93 ID:lPF+wk6u0<> はい。 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:31.63 ID:ijMQwl5U0<> 村上倶楽部どりゃあああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:33.33 ID:2uJ3Uo0q0<> 村上質です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:34.65 ID:lg22YIx80<> ポルカにカフェイン錠とブロソとチルアウト全部飲む配信してもらいたいけどどう？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:35.35 ID:4FtZXKl+0<> 見てて痛々しいわ… <br> もうやめたれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:35.75 ID:tJoRel3H0<> 村上質です <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:36.09 ID:vNqflV6K0<> 会議だ会議！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:36.78 ID:LvXKJlzn0<> 村上にはストライク入るやん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:37.20 ID:6hDmDYUo0<> これ重症だろ… <br> もう外せよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:38.52 ID:UPdWgkHc0<> 村長ー！！！！！&#128557; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:38.67 ID:EID7XhMS0<> 草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:38.89 ID:xsgjka7o0<> 村上質です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:39.44 ID:r9rK+AR10<> なんでふらねえんだよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:40.35 ID:sEfILfnJ0<> これ甦れのねたふりだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:41.03 ID:+9WVYO1m0<> 村上何ができるんだ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:41.53 ID:nogwqOir0<> 草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:43.09 ID:GXskuyIO0<> こよ歌いつ聴いてもねっちょりしてんな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:44.65 ID:NUKgL/l20<> さあ４番だ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:44.50 ID:yPg2X3ma0<> 村上どりゃあああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:44.61 ID:LlfLiTMx0<> シーズン引きずりそう <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:45.14 ID:IwcaZmSs0<> 村上会議はよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:45.83 ID:Wnvviq6Q0<> <a href="../test/read.cgi/livemegami/1678620258/5" rel="noopener noreferrer" target="_blank">&gt;&gt;5</a> <br> 依存し合うヘラ持ち同士…ほんとよくないよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:46.03 ID:jG0GATh70<> こよりブラボより人来てるけど  <br> こよりってゲームより歌が評価されてるんだな <br> 歌が評価されてるホロメンはマリンやすいせいみたく登録者伸びるからこれから期待だな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:46.19 ID:B6y7ICMW0<> 村上wwwwwwwww <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:47.11 ID:Rj8/5iBp0<> 村上打てなくて草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:47.47 ID:hZhM+FJB0<> 村上www <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:47.95 ID:Fg5TfX+N0<> 質です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:47.68 ID:ENaYTetZ0<> 村上宗隆のへたっぴ打撃 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:48.12 ID:0LPAuQh+0<> 野球だと海外の反応皆無に近いから <br> ホルホルできない <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:48.91 ID:WfETQ4Kx0<> これが <br>  <br> 日本の4番です・・・ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:49.04 ID:Z3Nh1bfM0<> 村上質です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:50.06 ID:oilF8dc00<> うそぺこでしょ・・・ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:50.08 ID:6kgYBn120<> ずこおおおおおおお <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:50.56 ID:lg22YIx80<> ポルカにカフェイン錠とブロソとチルアウト全部飲む配信してもらいたいけどどう？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:50.88 ID:QNQI+BZy0<> はい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:50.94 ID:JhqGf6Ry0<> 村上質無しです <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:51.32 ID:XdJrezIG0<> <a href="../test/read.cgi/livemegami/1678620258/60" rel="noopener noreferrer" target="_blank">&gt;&gt;60</a> <br> 好きだけど肝心の試合以外はフルで見ないよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:51.83 ID:dzCew84+0<> はい <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:52.25 ID:Dwny40l00<> 草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:52.81 ID:82HpxS+J0<> <a href="../test/read.cgi/livemegami/1678620258/3" rel="noopener noreferrer" target="_blank">&gt;&gt;3</a> <br> ルーナイトですが村上ナイトになります <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:53.83 ID:f1bTUYdD0<> はぁもうルーナ打席に立たせろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:53.35 ID:eM+t7/aL0<> 村上の好き嫌い荒れてます… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:54.74 ID:4Lijlol80<> クソすぎるだろ <br> もう野球やめろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:55.07 ID:0sW9oCIT0<> &#128557;&#128557;&#128557;&#128557;&#128548; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:54.79 ID:WvcVD1mz0<> 村上船降りろ <br> 罰としてホロスタ行きな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:55.04 ID:gnPiDvS40<> 村上ヤバすぎるどうすんだよ&#128517; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:55.15 ID:q2dP4+Ga0<> ランナー失わずに済んだやん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:56.33 ID:B4vlUMeJ0<> 今日あくぺこ記念日らしいな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:57.03 ID:/vRjN2Qd0<> 村上で重くなるの草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:57.19 ID:gzHVyhXb0<> <a href="../test/read.cgi/livemegami/1678620258/67" rel="noopener noreferrer" target="_blank">&gt;&gt;67</a> <br> 色々詳しそうだもんな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:57.63 ID:pUs47vd80<> 村上会議wwwwwwwwwwwwwwwwww <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:57.92 ID:8pPlIzKL0<> 村人WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 20:25:57.80 ID:tTldQ0wl0<> 村上さん&#128557; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:58.83 ID:HxGqJoQ10<> 三球三振即帰還 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:25:59.84 ID:Rjm3SHdH0<> 村上宗隆 <br> 村上宗隆 <br> 村上宗隆 <br> 村上宗隆 <br> 村上宗隆 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:26:00.84 ID:NHsrvdN70<> <a href="../test/read.cgi/livemegami/1678620258/61" rel="noopener noreferrer" target="_blank">&gt;&gt;61</a> <br> 重大告知バフ使って草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:26:02.90 ID:qiaFscun0<> 村上やべえかこれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:26:03.29 ID:EvmEyBOp0<> 村上さん&#128557; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:26:03.89 ID:EqWggTK40<> ゴミ過ぎて泣けてきた|&#128557; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 20:26:04.53 ID:HSU5epI60<> むらっしょい！ <>
