名無し＠18歳未満の入場禁止 無断転載禁止<>age<>2023/03/19(日) 18:18:12.69 ID:or8tsvrk0<> 一応 <>夏色まつりちゃん激推しスレ 	
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:46.44 ID:8653wv1k0<> 休憩助かる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:46.53 ID:9cRiLZVH0<> 懐かしいスレタイ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:46.80 ID:BMeSibrL0<> ここまでまともな曲なくてワロタ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:46.60 ID:eBgzxTaE0<> 今週から活発化してる単発こよアンの特徴 <br>  <br> ID:u6Q3OarT0 <br> ID:Lh56Geyl0 <br> ID:GbkDrjw60 ← 今はコレ(通報済み) <br> https://i.imgur.com/Y7sBYDR.png <br> https://i.imgur.com/uuZHs9e.png <br> ↑ <br> 都合が悪いのか、このレスを貼られた途端必死に通報ポチポチ <br>  <br> ・ヘタレインポだから必ず飛行機を飛ばす(たまに指摘されると2～3レスだけ同じIDでレスする、例外も有り) <br> ・反論されたくないので1000直前になった途端に連続で安価する(ヘタレインポの証左) <br> ・気を引きたいので絵文字連投と特徴的な笑い方、特定の差別用語を好んで使う(傾向的にかなアンも兼任している可能性あり) <br> ・「お前の文体ガー」と最初に連投し、その後「お前がこよアンなんだあああ」と連投(結局自演なので意味無し) <br> ・「メガオ」と名乗るこよアンを憎む半コテに肩組んでスネ夫ムーブをかます(メガオ出現時には必ず反応し、真っ先に安価する) <br> ・リモート、VPNを欠片も理解してないニート(隙間時間の1～2レスもニート＝仲間だと断定してしまう) <br> ・句点に親を殺されたのか執拗に噛みついてくる(障碍者特有の拘りか自身は空白で区切る) <br> ・馬鹿の一つ覚えみたいに画像ペタペタして知的アピール(困ったら通報連呼して勝ち誇る知的障碍者) <br> ・クソの役にも立たないURL指定の貼り方でマウントを取る(誤字指摘マウントと大差ない知能レベル) <br> ・こよりの話題、実況は絶対にしない(単発本人がこよアンだから当たり前) <br> ・こよアン連投する割に絶対こよりを褒めない(雪民なのでたまに我慢しきれず自我を出す) <br> ・スイッチ入るタイミングはこより実況orどりゃった時(こよりが褒められると我慢できなくなる) <br> ・我慢できなくなると飛行機飛ばしを忘れ正体を現し、複数端末で同時レス(大規模なコラボ・イベント時は顕著に見られる) <br>  <br>  <br> 本日ミラー視聴及びURLを流した犯罪者一覧 <br> ID:f+NBK3/A0 <br> ID:YBhi6Vt70 <br> ID:3kUgZVDa0 <br> ID:m/k6wEoE0 <br> ID:J66WW3ve0 <br> ID:7ENCsjqV0 <br> ID:t/oTbJGg0 <br>  <br>  <br> 本日の痴漢倶楽部 <br> ID:fB/CpUSZ0 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:18:47.53 ID:/NIqd5kR0<> 懐かしいスレタイ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:48.58 ID:TihkEVkg0<> 下山してる&#128552; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:49.08 ID:FGlzgrMi0<> まつりちゃ先輩のダンスはやっぱり質なのらね <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:49.45 ID:2ebJj37v0<> まつりちゃんかわいい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:49.60 ID:XsSdY9Jx0<> 他の女…？&#129300; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:49.91 ID:LHB+kDKp0<> 顔はいつ小さくなるんで？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:50.08 ID:tVT+yXca0<> 激推しもういいからはやくあくたんうつして <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:18:50.64 ID:dVi3EmLd0<> 新曲大量とか豪華だな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:50.44 ID:7rsdXVRl0<> まつりかわいいよまつり <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:51.95 ID:Zbw7k2Os0<> (  ･&#7620;&#7109;･&#7621; )俺たちのミラーを返せ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:52.00 ID:MxzgHdcZ0<> 会場「(なんだこの曲・・・！？)」 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:52.01 ID:7+upZ4q60<> ライブっぽい曲やん <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:18:52.27 ID:yG728jaD0<> みんなライブ用の盛り上がる曲持ってきてるな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:18:52.51 ID:IIvfU84u0<> 声出し解禁の癖に新曲多すぎてみんな困惑してるやん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:53.77 ID:ZjaJFDv50<> 新曲は現場がノリにくいという風潮 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:54.36 ID:Vfh6lUZv0<> すごい初歩的なことを聞くがこれって現地だと真ん中のキャラって見えてるの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:54.51 ID:v/s0HKPC0<> まちゅりこの新アイドル衣装常に着ろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:54.64 ID:IbFoGeUD0<> んなたんかわいい！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:55.70 ID:raqwDIEW0<> ステージにいるとめちゃいいよねまちゅ&#129412; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:18:56.03 ID:+StDYetB0<> まつりす大変だね <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:18:56.06 ID:3vZOeYTc0<> うお～ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:56.48 ID:ChJ+AzHb0<> 会場困惑してて草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:56.65 ID:MRIU2B6o0<> ノリやすいいい曲じゃん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:57.06 ID:DsjGpsq+0<> 結構いい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:57.13 ID:phXPHksT0<> まつりのポテンシャルの高さは認めてる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:57.14 ID:SFt+tYHs0<> 声出しは？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:57.17 ID:gpHkOP9C0<> ライブのまつりは当たり枠だろ！！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:57.41 ID:9f2TqHAj0<> なんでお前ら激推し嫌いなんよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:57.56 ID:nQTnrM350<> &#129412;まつりちゃんは経験豊富だから逆に安心できる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:58.03 ID:sOBnYqtl0<> これナナホシか？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:58.24 ID:zLmQvDQF0<> コールどうやるんだよこれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:58.52 ID:S4EF2lgc0<> このスレタイ久々だな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:58.80 ID:llGn3RmZ0<> 激推しと余 <br> 逆のほうが良かったんじゃね？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:59.16 ID:MG4XazrP0<> まちゅり～&#128557; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:59.30 ID:NiQ1GZgf0<> フブちゃんは良かったけど余、激推しの選曲ノリ辛過ぎだろ <>
メガオ<><>2023/03/19(日) 18:18:59.39 ID:jqHKu4sx0<> あらゆる女に可愛い言ってんの君では！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:18:59.74 ID:rpxIoClL0<> 下山エグwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:00.05 ID:0YtOyeaP0<> 野良で男とボイチャしないこと&#128557; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:00.75 ID:R4N1XWtM0<> 下山やめろぉ！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:00.62 ID:3tOE6ITc0<> 新曲なんか？ <br> ライブでは乗りにくいからここでお披露目はやめよう <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:01.14 ID:6I7PB+nI0<> さすがに人気メンバーの次に激推しもってくるな <br>  <br> 歓声の差が分かりやすくて酷いだろｗ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:01.53 ID:EeWEo8BE0<> これナナホシ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:01.58 ID:0XnPpRlE0<> んなっしぇいいいいいい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:02.39 ID:bb0chP8F0<> ルーナの曲みたいだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:02.51 ID:9n1/CHfE0<> まつりちゃんライブしながらスレ立てるな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:02.66 ID:FELpqu6n0<> Mute <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:03.72 ID:XsSdY9Jx0<> まちゅりの小足 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:03.72 ID:oo8HNNIs0<> お気持ちソング連続 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:04.12 ID:greAMdBr0<> 不人気はスレ実況タイム <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:04.31 ID:2pueo+OW0<> 浮気だの気持ち悪いな&#128517; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:05.59 ID:ikewZQeg0<> まつりちゃんのふとももかわいい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:05.65 ID:eUNaIk6z0<> 整形は50万なのにライブは0円の女 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:05.73 ID:XAlZ4KxC0<> マジで1日の奴らとの格差酷すぎて引くんだが <br> ルーナとかカラオケ歌わされたのに <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:06.04 ID:wdYMHBh/0<> 3週くらい回って好き <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:06.34 ID:U/TWti9d0<> 知ってる曲お願いします <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:06.61 ID:1P6aaaxC0<> てか、みんなライブ向けのテンション上がる曲選んでるじゃん <br> かなたそなんで別世界にしたの <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:06.67 ID:lbc9K34i0<> 下山すな！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:06.99 ID:ap+pj4820<> これ選曲の時点で声出しOK想定してなかったんじゃね？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:06.99 ID:bxFGNaLK0<> 次も雑魚メンだろうからミオあたりかな？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:07.23 ID:SFt+tYHs0<> コールは？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:07.31 ID:1ak4FXcz0<> トイレタイムは中盤に入れろよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:07.65 ID:KvMQj8jl0<> ガチで可愛いな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:07.94 ID:molu5v5x0<> 悔しいけど <br>  <br> パフォーマンスは一流やわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:08.08 ID:fltUSX0N0<> アンスレのテンションの下がり方で笑うわ　 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:08.47 ID:2ebJj37v0<> 忠誠？んなあああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:08.69 ID:ZWK+y4ub0<> Day1の方が強かったオチある？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:09.44 ID:XWyEqfxD0<> 絶対王政なのら？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:09.16 ID:Td+ge0zv0<> まぁ無料って感じだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:10.21 ID:gpHkOP9C0<> 激推しスレきちゃああああああ！！！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:10.37 ID:0Ohlul0t0<> 金盾だらけ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:10.03 ID:zLtAJsbB0<> それミオしゃの！！！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:10.70 ID:br/uVcmu0<> <a href="../test/read.cgi/livemegami/1679217492/46" rel="noopener noreferrer" target="_blank">&gt;&gt;46</a> <br> 壁画でな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:11.55 ID:0/Xeoztj0<> ちゃんとスレタイに&#127982;つけろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:11.76 ID:3975szNJ0<> (&#127852;・o・)忠誠！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:11.79 ID:rp3GOVpx0<> よく新曲ってわかるなお前ら <br> 全曲把握してんのか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:11.52 ID:fzIZFvFN0<> シルヴプレジテンドっぽい曲だな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:11.85 ID:bz4O3bvX0<> 新曲って下手にコール出来ないから多いと困る <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:12.54 ID:GW8DYh7C0<> どうせカバーでもない限り予告なしじゃオリ曲でノレないんだから別に新曲でもよくね <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:12.67 ID:X0Zo87mz0<> これもうなのなのらじゃん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:12.94 ID:UTcGl/sU0<> 裏で男漁りしてる所までアイドルだよね激推しさんは <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:12.63 ID:R8T/WFge0<> 昨日の無料は誰だっけ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:12.90 ID:WBQuka680<> なんか盛り上がる曲多くね？昨日の最初どうだったか忘れたけど <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:13.26 ID:hqGb5b0S0<> <a href="../test/read.cgi/livemegami/1679217492/57" rel="noopener noreferrer" target="_blank">&gt;&gt;57</a> <br> よくわかってるな&#128522; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:13.28 ID:8kvCd0y/0<> 激推しすっぞ！！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:13.51 ID:ruvCAPJR0<> あーわかったわ <br> これday2はサプライズゲストないべ <br> 代わりに新曲ラッシュや <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:13.50 ID:MfJIIBSS0<> 新曲ラッシュだから聴く方に集中しちまうな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:13.44 ID:J3oFtIyp0<> 新曲って現地だとどう動けばいいかわからないからだるい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:13.64 ID:VvYseZXG0<> さっきいった <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:13.67 ID:yG728jaD0<> 忠誠！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:13.95 ID:+sJ9RWk10<> まつりちゃんの新曲、ライブ極振りです&#129303; <br> だりゃああああああああああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:14.10 ID:4iR0Qr9Y0<> 一期生と二期生が続いてるから次はあくあかシオンか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:14.17 ID:0j2m38WH0<> 絶対中世なのなのら <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:14.04 ID:lgiqT/Rl0<> 崇拝は純愛か？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:15.20 ID:R4N1XWtM0<> <a href="../test/read.cgi/livemegami/1679217492/82" rel="noopener noreferrer" target="_blank">&gt;&gt;82</a> <br> 開示 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:15.44 ID:9rBlpFbN0<> 数字が正直すぎる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:15.45 ID:S4EF2lgc0<> <a href="../test/read.cgi/livemegami/1679217492/59" rel="noopener noreferrer" target="_blank">&gt;&gt;59</a> <br> 角いらんだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:15.48 ID:ZMR/XHYg0<> ライブで新曲ぶち込みまくるのはどうなん？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:15.51 ID:oQWLkJXi0<> 色々混ざってんな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:16.04 ID:H5AKg96W0<> 去年ってマリン以外に新曲お披露目いたっけ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:17.07 ID:Z4UCc7pP0<> なのなのら！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:16.75 ID:87pSddEW0<> 昨年のマリンをみて新曲御披露目にしようと思ったのかな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:17.34 ID:aqnIIUaj0<> 久しぶりにみたスレタイ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:17.62 ID:+1Dp9nQx0<> おめえ男と遊ぶくせにこっちだけ独占するな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:17.85 ID:vrP95oHz0<> なんかサイリウム消してる奴多くて草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:18.19 ID:wGGX8SgQ0<> これ未発表曲か？ <br> 親方の曲もギリギリ発表したやつだしスケジュールどうなってんだよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:18.66 ID:6lM4f5eL0<> 余とまつりちゃ先輩は配信せずに新曲激詰めしてたんだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:18.63 ID:PDaTGct60<> 新曲連発とか質も二日目に取られとるやん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:18.94 ID:2MFwu16D0<> MVもあるのか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:19.49 ID:lYUtX0Ow0<> 絶対忠誠なのなのら？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:19.87 ID:bD19g0Zn0<> 知らない曲で観客が戸惑っています <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:19.97 ID:CRFs8pCJ0<> そうかこれ現地だとスピーカーから流れてるからワンチャン生に聞こえるのか <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:21.21 ID:O4NfCpYd0<> ENIDはよ <br> アイリス早くしろ！！！！！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:21.28 ID:rKxtewgj0<> なのなのら？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:21.31 ID:gGWTEG4+0<> つまりフェスティバルーナだな？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:21.71 ID:wwRfhxaI0<> 下山どりゃああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:21.72 ID:bwch6iF30<> 少し顔小さくなった？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:21.98 ID:fC74ZNZ60<> 絶対忠誠！？！？ <br> フェスティバルーナどりゃああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:22.80 ID:Ea6jGHCZ0<> 初見でコール入れずらいだろこれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/19(日) 18:19:22.64 ID:CKLh4QR30<> 無料にハズレ持ってくるのやめて <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:23.16 ID:ZWK+y4ub0<> 絶対王政なのなのら！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:23.42 ID:6Pwb21+20<> 激推しいいぞ～ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:23.71 ID:RljlOFE70<> 自己紹介系のオリ曲って何か微妙&#129402; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:24.14 ID:1jY02/PI0<> ホロメンは曲多すぎて知らない人も多いからノリやすい曲ならそれでええんや <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:25.08 ID:TxSTOrsE0<> まつり機動力あがってね？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/19(日) 18:19:25.04 ID:42PiFdVj0<> p丸のあれか？ <>
