名無し＠18歳未満の入場禁止 無断転載禁止<>age<>2023/03/12(日) 21:03:09.15 ID:irsmnAHg0<> ？ <>許 	
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:03:59.23 ID:9ezzlN+Y0<> フレアカンストで配信終了です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:03:59.59 ID:nYH/OrtI0<> アクターガキ最強すぎる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:03:59.96 ID:qE4rin/v0<> 茶番30分 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:00.31 ID:VkCbDSfJ0<> 若さというものは素晴らしい <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:00.31 ID:BaNmD4UV0<> シオンの格好って変態だよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:00.92 ID:QLdYfXH00<> 普段サボってるメンバーだから燃えんな… <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:01.49 ID:FIGaJMX30<> マイルストーンばっかでスパチャ少なくね？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:02.27 ID:1ESRjfc50<> 声が女の人になったな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:02.30 ID:be6w8vcb0<> キビキビしてるな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:03:59.16 ID:btv7peCb0<> キレキレやね <br> どうでもいいけど <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:02.95 ID:QVQd5K5P0<> お前等　何回クソガキを許した？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:02.96 ID:vXLtOtMG0<> <a href="../test/read.cgi/livemegami/1678622589/33" rel="noopener noreferrer" target="_blank">&gt;&gt;33</a> <br> &#127812;&#128166; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:03.43 ID:zWCqEg7y0<> 許さないけどシコる&#128545; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:03.44 ID:/JM41ax00<> 侵入者まだ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:03.62 ID:bkzOCv/u0<> シオンはなぜか生歌っぽく聞こえるんだよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:04.37 ID:Z3Nh1bfM0<> 虫だけ倒してもらうの斬新すぎるだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:07.13 ID:HJlnOw4Z0<> おまえら、アーニャさんの誕生日23人凸待ちも見ろよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:09.03 ID:AQNXy6yI0<> 動きキレキレすぎてわろた <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:09.16 ID:m+ac0mgP0<> アクしおじゃん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:09.62 ID:7Bq6hwKv0<> 確かにダンスめっちゃ上手いな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:10.78 ID:iXm6d0Df0<> ？？？「今日のライブはこんなセトリで行こうか」 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:11.69 ID:8yaSMlTz0<> ぱんくん見てるか？ <br>  <br> クソガキ輝いてるぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:11.93 ID:op0FcUW00<> ミカコングって最近何かに出てた? <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:13.01 ID:JhqGf6Ry0<> シオンがこんなに踊れるわけ… <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:13.88 ID:GrrIAz5e0<> 引き多すぎだろ <br> カメラワーク頑張れよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:15.29 ID:hFgALx130<> 引きの絵使いすぎ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:17.50 ID:qy0haWa80<> フレアカンストどりゃあ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:18.71 ID:BgyclLnL0<> ルーナイトの特技 <br> 虫退治 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:19.97 ID:SgFlGyts0<> つまりふーたんがマイメロディでカンストってこと？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:22.25 ID:3gD0vk4I0<> クソガキ～&#128525; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:22.71 ID:sOzFV27P0<> どうでもいいけど許した <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:24.68 ID:sbId2MhA0<> ルーナが被せるのは珍しいな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:24.92 ID:gDR2jTe/0<> 可愛すぎワロタ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:24.97 ID:FJHU4gwX0<> <a href="../test/read.cgi/livemegami/1678622589/63" rel="noopener noreferrer" target="_blank">&gt;&gt;63</a> <br> &#129412;ひひーん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:25.22 ID:NebrdwG00<> <a href="../test/read.cgi/livemegami/1678622589/50" rel="noopener noreferrer" target="_blank">&gt;&gt;50</a> <br> このときのために頑張ってたんだ…… <br> 許そう <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:26.46 ID:PfuLzzYW0<> 選曲バッチリだな <br> 可愛すぎるぞ～&#128525; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:27.11 ID:ohMOnYCn0<> 姫プリング <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:28.93 ID:KNFFeMCj0<> &#127789;&#128525;&#129366; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:29.04 ID:CjdEGpCh0<> 選曲が自分の魅せ方が分かってるな <br> 悔しいわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:29.63 ID:v4HcuLa+0<> まだ許さねーよ&#128544; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:29.98 ID:Uy2w+R8x0<> ダンスはアクターでいいけどトークはやめてくれよまじ冷める <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:30.55 ID:lxN111UT0<> 虫は下にしかいないな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:30.60 ID:Ap/byDA90<> あ～にゃ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:31.58 ID:d3a+y/OW0<> ダンスキレッキレやね <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:31.37 ID:fYGZ3KlS0<> これ中に山田入ってない？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:31.80 ID:I7PUogQH0<> オリ曲のダンス？とかの印象強すぎてこんな踊る訳ないやろって思っちゃうな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:31.95 ID:ui3oCNsQ0<> シオンちゃん可愛いね…推していい？&#129412; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:32.84 ID:6q9e7hyA0<> ちょっとまって！マイメロの替え歌のコピペだれも貼ってないじゃん！ <br> 俺あの替え歌大好きなのに！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:33.68 ID:/4o9ilrv0<> お前は不思議じゃなくて欺瞞で作られてるけどな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:34.21 ID:ReGAQfeB0<> クソガキスカート短すぎてえっど&#128525; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:35.69 ID:d1iRZBl70<> キレキレシオンw <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:36.39 ID:nmTXvPfN0<> 20歳のキレだわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:37.28 ID:j+RWPVUg0<> https://i.imgur.com/Y1mVG4J.jpg <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:37.32 ID:IxM6fsP90<> ルーナイト害虫駆除してて草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:38.03 ID:EID7XhMS0<> 姫プすぎて草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:38.64 ID:BzWk/INB0<> 許さん刺す <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:39.05 ID:BaXxoKDT0<> これはアクター <br> これだけ書きに来た <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:39.39 ID:5p6T+RaL0<> クソガキ許されました <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:39.70 ID:gzHVyhXb0<> シオンたん許した&#128548; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:40.17 ID:gqXvc3FA0<> アクター判定中 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:40.17 ID:qq+8B5ru0<> 誰もフレア見てなくて草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:41.94 ID:+g7L41PN0<> アーニャさんはじまりました <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:42.63 ID:B0SmQyDv0<> 侵入何で帰った？&#128545; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:43.03 ID:NwaqKxaY0<> このステージってデフォルトよね 金掛けろよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:38.05 ID:ywER9fCS0<> 普段配信しないだけあってダンスレッスンしっかりしてたんだな！まるでプロみたい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:44.23 ID:qE4rin/v0<> これ生だろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:44.57 ID:wJk9jTnR0<> ラプちゃんに影響うけてて草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:46.92 ID:iXm6d0Df0<> すいちゃんとクソさんって接点あった？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:48.01 ID:ENNMELOH0<> 中身山田です <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:48.77 ID:D1KvxIYR0<> アーニャ生誕祭きたあああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:49.17 ID:Li7/4sJV0<> こんなにダンス練習したなら許した&#129402; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:49.45 ID:+F1xINdP0<> ダンスキレッキレで草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:49.41 ID:9Grc1DE40<> 低俗なマゾ集合してください <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:49.99 ID:MhBPJHFp0<> 配信しなくてライブもアクターならなんならやれるんだよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:50.64 ID:9CouwBuG0<> んなたん続行かよ、いいぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:04:51.06 ID:BOebqGal0<> シオンちゃん最近見ないと思ったらずっとダンスレッスンしてたんだな…&#128557; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:51.11 ID:QLdYfXH00<> 声変わりしたのか <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:50.89 ID:UsSKmgd00<> セックスガキがよぉ&#128545; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:56.70 ID:bnKIaXSl0<> 何でお前らクソとか見てんのw <br> 数字に貢献してやってんのwww <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:57.97 ID:9OBmYZ7a0<> はい <br>  <br> https://i.imgur.com/GlStGwN.jpg <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:04:58.09 ID:45006ewa0<> これ本人？すごくない？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:00.00 ID:wxmvbTSz0<> チンアナールさっさと襲ってこいよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:01.31 ID:7ACRYAhh0<> 箱推しさんたちシオンちゃんもこのとおり深く反省しています <br> 至急生誕ライブに集合してください <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:01.95 ID:y+Tj1EbN0<> チンチンがイライラするのは許してないからだ&#128545; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:03.21 ID:2fsSwpuP0<> フレアカンスト100万人どりゃああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:03.92 ID:HxBijfpY0<> 前スレ<a href="../test/read.cgi/livemegami/1678622589/936" rel="noopener noreferrer" target="_blank">&gt;&gt;936</a> <br> そういうことか。ルーナイトありがとな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:04.99 ID:0gQ6xEWe0<> 被せてるクソが悪いんだから鳩飛ばしてんじゃねえ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:04.99 ID:j0Dkwv8Z0<> ちょこ先の3D好きなんだけどあんまでないの悲しい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:05.88 ID:NebrdwG00<> 姫様！離れないで下さい！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:06.90 ID:PFAethGt0<> <a href="../test/read.cgi/livemegami/1678622589/123" rel="noopener noreferrer" target="_blank">&gt;&gt;123</a> <br> 単純になかよし <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:07.50 ID:/a113Jxj0<> アクターのダンスでお前ら満足するんだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:11.80 ID:gzHVyhXb0<> すいせいもっとシオンライブ宣伝しろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:13.68 ID:qE4rin/v0<> アーニャこの裏で凸やってもこないだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:14.16 ID:SgFlGyts0<> 今日の出演者、全員キビキビ踊れそうな予感 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:15.27 ID:lN4EsLx10<> クソガキかわいすぎ&#128525; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:16.01 ID:vGXr7ZL70<> 精巣が動き始めた <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:15.98 ID:rOlC9QQk0<> クソガキ～ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:16.57 ID:P1PpIBPX0<> シオンって、初期衣装とアイドル衣装以外の3Dってあるんだっけ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:05:18.05 ID:MlStY/B70<> <a href="../test/read.cgi/livemegami/1678622589/135" rel="noopener noreferrer" target="_blank">&gt;&gt;135</a> <br> モル葛てぇてぇ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:20.81 ID:KNFFeMCj0<> 一部収録じゃなくて全部収録って書いてあるな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:21.29 ID:8PZUSSUN0<> フレアカンストしたしMOTHER2やるべ&#9786; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:21.69 ID:gtYQ6rAK0<> ホロで一番興味ない人だしお風呂入るか...ゲストも微妙だし <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/03/12(日) 21:05:23.09 ID:Z3Nh1bfM0<> ルーナどうしたいん？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:22.92 ID:WZlv+CPG0<> ステップ省略されてるからアクターじゃないおじさんまだー？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:24.88 ID:wJk9jTnR0<> この歌ながくね？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:24.71 ID:gRzDBZ1+0<> こよりに音楽ライブって求められてるんか？ <br>  <br> https://i.imgur.com/4vXhu3M.jpg <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:30.16 ID:rEconGkv0<> <a href="../test/read.cgi/livemegami/1678622589/63" rel="noopener noreferrer" target="_blank">&gt;&gt;63</a> <br> クソガキの声が変わった <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:31.10 ID:pUsW43zo0<> ターンがきれいだからちょっとシオンじゃないわな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:31.79 ID:Xa3LD5qo0<> <a href="../test/read.cgi/livemegami/1678622589/146" rel="noopener noreferrer" target="_blank">&gt;&gt;146</a> <br> アクターの段階で最小化して画面見てないよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:32.40 ID:Tlhgy+jp0<> ホロップ陰湿すぎだろ <br> https://i.imgur.com/HG2z0A6.jpg <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/03/12(日) 21:05:32.84 ID:PfuLzzYW0<> オトメロディー好き <>
