名無し＠18歳未満の入場禁止 無断転載禁止<>age<>2022/11/29(火) 21:18:55.14 ID:8WUE78S10<> えっちすぎる <>6期のエロライブ王 	
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:19:48.23 ID:Oouc1zWX0<> 生歌でデバフって下山するの誰かで見たと思ったらかなたそでそんなのなかったっけ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:48.74 ID:K9SZpi0k0<> 歌頑張りたいとか言ってたけど練習とかしてんのかな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:48.82 ID:4HqKSU+H0<> なんか微妙に登山しきらんな <br> ちょいちょい下山する <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:49.20 ID:9WDaqMT70<> <a href="../test/read.cgi/livemegami/1669724335/27" rel="noopener noreferrer" target="_blank">&gt;&gt;27</a> <br> なんでょ～ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:49.72 ID:Ih7Q45l70<> やっぱこれだよ求めてたのは <br> ゲストなんていらないの　ファンに向けてやるもんだよ周年ってのはさ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:49.72 ID:xm1EU/fR0<> エロ→登山 <br> 歌→下山 <br>  <br>  <br> なぁこれって… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:49.16 ID:YWFl7HTv0<> 沙花叉は得意な歌はガチで強いから <br> 結局練習次第なんよね <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:19:50.42 ID:ekERNa3P0<> 歌で下山すんな&#128545; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:51.22 ID:WJiNyFz+0<> 椎名林檎は本人じゃないとあまり有難みねえなあ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:51.03 ID:gKkgo31Y0<> マスカーニャじゃん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:51.13 ID:aVgRthxV0<> 歌はあんまり上手くないな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:51.89 ID:N+7ojBZq0<> 歌唱力はこの際置いておくとして <br> パンツメインでいけ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:51.89 ID:1mTdESvj0<> <a href="../test/read.cgi/livemegami/1669724335/7" rel="noopener noreferrer" target="_blank">&gt;&gt;7</a> <br> 四股踏んでて草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:52.27 ID:6UWBRPGb0<> <a href="../test/read.cgi/livemegami/1669724335/22" rel="noopener noreferrer" target="_blank">&gt;&gt;22</a> <br> &#127812;&#127812;&#127812;&#128166; <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:19:52.75 ID:hOAsc03b0<> こんなんもう丸の内サディスティックじゃなくて丸の内でセックスティックじゃん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:53.13 ID:bWLTNixs0<> しゃかまた、側転しながら歌おう <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:52.88 ID:jixUHLr+0<> 音源がショボいんか？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:19:53.57 ID:xQ8h3Zug0<> <a href="../test/read.cgi/livemegami/1669724335/32" rel="noopener noreferrer" target="_blank">&gt;&gt;32</a> <br> おいこら&#128544; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:53.73 ID:USOaYQ030<> なんでこんな変な歌い方してんだ？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:19:53.77 ID:2TIcMY4e0<> 乳削ぎ落として晒し首にしたい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:54.01 ID:+jNLldKA0<> なんか微妙だな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:19:54.14 ID:9TyFkayd0<> 歌で下山は草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:54.75 ID:wFudIGD/0<> 歌うと減るの後で落ち込むので辞めてください <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:19:56.32 ID:y/x/fPRQ0<> エロ登山歌下山 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:56.53 ID:WxOl1L6K0<> 男ってやーね&#128545; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:56.88 ID:7yM5kieu0<> どうせPornhubゲージで後からも分かる話さ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:19:58.03 ID:jqvOvihG0<> 歌うと下がる <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:19:59.12 ID:CjTqaetS0<> <a href="../test/read.cgi/livemegami/1669724335/51" rel="noopener noreferrer" target="_blank">&gt;&gt;51</a> <br> 今日まで待っても良かった <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:19:59.59 ID:VwRfH7zU0<> 動きながら歌うことになれてないんやろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:19:59.75 ID:Q8cFLxby0<> サカマタ歌上手いと思ってたけど普通に下手だな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:00.31 ID:y+4Bcuxr0<> エロ登山しかないんか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:01.05 ID:TGSu70cF0<> ガワはエロいけどイマイチ動きに可愛さがないんだよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:01.98 ID:vLSY/myH0<> 全く嬉しくないゲストライブよりえっちなライブのほうがいいね <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:01.79 ID:qH/81NYL0<> しゃかまたに歌はいらない <br> 茶番しか求められてないんだよ <br> もうわかっただろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:02.34 ID:idXqmZX00<> でもさぁカメラマンは上手くなってきてるよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:20:02.42 ID:+kZ078j30<> 歌で登山しなくなるの草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:20:02.86 ID:1s5s2d720<> 何しないで山田討伐 <br> 側転でこより討伐 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:20:03.87 ID:HqwYjdf40<> 下山どりゃあああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:03.99 ID:1ywDR73b0<> なんで歌うと下がるんだよw <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:03.87 ID:A7U7iXEK0<> 10万どりゃあああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:03.63 ID:pyjgWU1/0<> 唄うと下山するな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:05.07 ID:AWyjM4LE0<> エロライブはよせい <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:20:04.71 ID:Ayjf/YX60<> 行きそうでいかない10万 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:05.57 ID:ESa2N8a20<> 登山が厳しくなってきたな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:05.29 ID:0WX0oo1Y0<> 10万の壁手強いな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:20:05.91 ID:Bp+/P7k80<> おいダンスの振付即興で変えておパンツ見せ見せ大会にしろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:06.17 ID:GK6rXcy10<> 弁護士もしゃかまた見てるんか <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:20:06.75 ID:S0NtdtNw0<> ババアに側転は無理だろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:07.49 ID:Gu1lJZuf0<> こいついつも歌で下山してんな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:08.95 ID:rbw/CA600<> 生歌で下山は辛いな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:09.50 ID:vHWUPnBs0<> クロエは本気で歌えば完成度高いから歌バフ掛かるの強いわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:10.71 ID:Tjpy6LiJ0<> この、なんとも言えない歌唱力どうなの・・・・ <br> 流石に擁護難しいんだが <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:11.34 ID:WLSHqWXJ0<> さかまた早くクソガキと風呂入ってくれ&#128525; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:10.91 ID:XIa3lsbm0<> 生歌下山草 <br> これ表もわかってんじゃん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:11.71 ID:JLIcWE7+0<> 歌うと下山するｗｗｗｗｗ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:12.29 ID:mcnnd6AX0<> 一回自分の歌録音して聞くと絶望するよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:12.24 ID:mJz7r5al0<> エロライブ王が他にいないだろむしろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:14.02 ID:aQCwBkAD0<> 10万きたあああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:14.77 ID:hcOgACDm0<> <a href="../test/read.cgi/livemegami/1669724335/51" rel="noopener noreferrer" target="_blank">&gt;&gt;51</a> <br> 本来今日の一周年記念で外すべきやったよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:14.93 ID:guRQIDZH0<> <a href="../test/read.cgi/livemegami/1669724335/22" rel="noopener noreferrer" target="_blank">&gt;&gt;22</a> <br> &#128077;いいね <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:14.62 ID:Vn/LHBCV0<> エロガキ歌に興味ありません&#128517; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:16.18 ID:eLQJWwA70<> 10万直前で下山すなー！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:16.52 ID:xCd0aL+F0<> なんで露骨に歌で下山するんだよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:17.05 ID:x66Jz6aB0<> クソガキの初３DのＹ字バランス思い出すな <br> エロライブ最強 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:17.83 ID:O7ePnjj60<> この歌で下山する感じ懐かしいな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:18.31 ID:QepFRVnr0<> <a href="../test/read.cgi/livemegami/1669724335/7" rel="noopener noreferrer" target="_blank">&gt;&gt;7</a> <br> タイツ脱げ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:20:19.08 ID:WGxCjQOG0<> 歌下山ワロタ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:20.44 ID:FIViDL9b0<> なんか懐かしいな <br> 昔は茶番で登山して歌で下山してたからそれが帰ってきたかのようじゃん <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:20:20.28 ID:IKW6b/Pk0<> <a href="../test/read.cgi/livemegami/1669724335/93" rel="noopener noreferrer" target="_blank">&gt;&gt;93</a> <br> あ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:20.57 ID:ORpoqssQ0<> いつもの歌枠では！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:20:20.77 ID:ZUZTPIBj0<> ずっとパンツ出しとけ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:21.29 ID:Dlxy9G8Q0<> 沙花叉のやりたい曲と飼育員のやって欲しい曲、絶対乖離しとるやろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:21.20 ID:1JBrLR5B0<> ルイのライブは100点 <br> クロエはまだわからない <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:21.21 ID:JF90OSlV0<> こんだけガワに恵まれててなんで普段の同接あんな低いの <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:20:22.17 ID:lqte+5Ir0<> パンツ見せべ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:22.24 ID:B0ZsArn+0<> 山ちゃーん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:22.78 ID:/fwTGF4H0<> ゲスト無しでこれは凄いな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:22.85 ID:4HqKSU+H0<> 歌で下山とか <br> ホロだな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:20:23.20 ID:9GWhaC250<> 歌下山すんのに歌メインでいきたいはまずいでしょ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:23.26 ID:O+QdMnZY0<> さかまたは歌を聞いてほしいけどリスナーはエッチな茶番が見たい <br> 悲しいすれ違い <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:20:24.24 ID:Ymx8NyBb0<> 今年ソロ100000だしたVtuber <br> あくたん <br> ぺこら <br> さかまた←予定 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:24.72 ID:RMexlmrJ0<> ルイ越えは厳しそう <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2022/11/29(火) 21:20:24.50 ID:+FaXtDZ60<> 荒れるかもしれないけど <br>  <br> ソロ3Dライブ <br>  <br> 9.8万　クロヱ <br> 7.3万　ラミィ <br>  <br> あ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2022/11/29(火) 21:20:25.29 ID:9hFmmDwL0<> <a href="../test/read.cgi/livemegami/1669724335/46" rel="noopener noreferrer" target="_blank">&gt;&gt;46</a> <br> 選曲に実力が追いついてない感&#129402; <>
