名無し＠18歳未満の入場禁止 無断転載禁止<>age<>2023/08/02(水) 20:35:48.53 ID:0aVFUYW00<> 地獄 <>&#128058;（やべぇ…） 	
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:05.28 ID:ydwaHBq90<> あてぃたんインしたお <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:05.35 ID:1HNGRadf0<> あくたん！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:05.51 ID:rRQeQRzX0<> 母よ… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:05.30 ID:Jto3/+OB0<> 泣かなそう <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:05.58 ID:nFM+IS9D0<> あくたんどりゃああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:05.70 ID:S1d3+hz/0<> ｖ( ^)o(^ )ｖ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:05.78 ID:RRqXtYan0<> たくあん？！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:06.33 ID:hYVoqbEy0<> あくたんどりゃああああああああああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:06.51 ID:VjaAY1Ub0<> ( ^)o(^ )！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:06.60 ID:Y1F3Jeqv0<> 草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:06.68 ID:ngkMjADk0<> あてぃしのまま <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:06.51 ID:UFIWe6A00<> あくあなんとかしてくれ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:06.91 ID:v9lG8s4f0<> ( ^)o(^ ) <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:07.02 ID:XooUOdlx0<> どりゃあああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:06.86 ID:QQQblfif0<> あくたんどりゃああああああああああああああああああああああああああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:07.32 ID:ILtaxedc0<> ( ^)o(^ )！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:07.13 ID:NqRrREPi0<> 空気かえにきたか <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:07.45 ID:fEmoElpo0<> あくあってこんな声だったけ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:07.90 ID:gfzDWq2B0<> 湊あくあ襲来 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:08.11 ID:MwIAj/FZ0<> あくたんさあ <br>  <br> 泣ける？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:08.31 ID:Wbw+xWwW0<> おしゅし!? <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:08.15 ID:Cy81pXly0<> ｖ( ^)o(^ )ｖ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:09.06 ID:K9HE5qfv0<> どりゃああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:09.06 ID:9zY7YLFE0<> ( ^)o(^ )ﾊﾊﾖ｡｡｡ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:09.21 ID:8kI5z/QX0<> やっと１軍 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:09.21 ID:NBxpsATC0<> ( ^)o(^ )ｂ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:09.06 ID:uK4oe+Tp0<> あくたんどりゃああああああああああああああああああああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:09.35 ID:51A80snV0<> 悩みなさそうな人きた <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:09.40 ID:70xiRpy40<> あくたんか <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:09.71 ID:4iXxBJYB0<> あくたん分からなかった <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:09.74 ID:eFWjtgcF0<> この空気であくたんどりゃああああああああ( ^)o(^ ) <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:09.91 ID:V5Ub85zZ0<> ( ^)o(^ )あてぃしも泣いていい？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:09.85 ID:GLqTDGb40<> たくあんどりゃあああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:10.03 ID:ZdV17LME0<> あくたんどりゃあああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:10.29 ID:Hj5fZpxT0<> あてぃし悩みねえだろｗ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:10.39 ID:n4sjspIq0<> やべアキロゼかと思った <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:10.63 ID:4P/hrdvt0<> 次の被害者あくたんです… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:10.76 ID:XRAaUxYo0<> あくたん！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:10.49 ID:ilpONSR90<> 主人公！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:10.98 ID:0T7bzMzF0<> 大丈夫そうな奴きたああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:11.20 ID:+8PSLje30<> ( ^)o(^ )！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:11.24 ID:y2bqsMsG0<> 浅い奴来たなぁ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:10.99 ID:a/Gyca3V0<> たくあんどりゃああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:11.62 ID:Q1acJOxX0<> あくたん泣け！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:11.64 ID:hO/zoVkS0<> たくあん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:11.69 ID:G8F97tz/0<> この流れでこいつかよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:11.70 ID:mgPs0fuQ0<> あくたんは絶対泣かないわ&#129392; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:11.64 ID:ofIiNaz40<> あてぃし！？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:11.98 ID:VVsSIutw0<> たくあんどりゃああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:12.10 ID:J4nhkF2m0<> スバルか？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:12.33 ID:P7cK/B/P0<> ( ^)o(^ )母よ… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:12.51 ID:+pPWLVcj0<> おまえがくるんかい！ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:12.87 ID:+a0dqcL10<> あくたんに張り手どりゃあああああああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:13.13 ID:7nw+mGee0<> ( ^)o(^ )どりゃああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:13.45 ID:XCHzZb+Q0<> 悩んでなさそうな奴きたw <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:13.53 ID:36bew6rD0<> あくたんどりゃあああああああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:13.62 ID:u4YqL0IF0<> ( ^)o(^ )ｂ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:13.68 ID:53V9Bc+J0<> 　　　　___　　　　　　　　　　　　　　　＿　　　　　　　　　　　　　　　　　　_,_　　　　　　　　　　　　　　　＿ <br> 　　..,jj|||¨　　　　　　 　 　 ,ii,,,,_　　　|ll|||ii,_　　　　　　　　　　　　　 　 ,jj|||lll 　 　 ,ji,,i,_　　　　　　　 　 |l||||ii,_ <br> 　llll|||''　　　　　　　　　_jj|||'''''l||lll,,_　　 ||l|||ll　　　　　　　　　　　 　 il|||'''　　　,,ji|||'''''l|llll,,_　　　　　　　　 '|'||lll| <br> __||||||　　　　　　　 　 |||||¨　　 ¨|||||　　　|l||||__　　　　　　　　　　 __|||l|　　　|||||¨　 　 ¨|||||　　　　　　　 　 |||||_l_ <br> ]||||　　　　　　　　　　　　　　　　　　　　 　 |||||　　　　　　　　 　 |]|||　　　　　　　　　　　　　　　　　　　 　 　 ]|||| <br> |||||　　　　　　　　　　　　　　　　　　　　 　 |||||　　　 ＿＿_ 　 　 |||||　　　　　　　　　　　　　　　　　　　　 　 |]||| <br> ]||||　　　　　　　　　　　　　　　　　　　　 　 |||||　　,,,r|llll|lllll|ll,,_　 ||||||　　　　　　　　　　　　　　　　　　　　 　 ||||| <br> |||||　　　　　　　　　　　　　　　　　　　　 　 |||||| ll||||'|　　　 ||||||| l|||||　　　　　　　　　　　　　　　　　　　　 　 |]||| <br> |||||__　　　　　　　　　　　　　　　　　　　　 _||||| _|||||　　 　　 |||||| ||||||_　　　　　　　　　　　　　　　　　 　 　 __||||| <br> 　||||||　　　　　　　　　　　　　　　　 　 　 ||||||　 |||||||_　　　_,,|||=|　 ||||||　　　　　　　　　　　　　　　　 　 　 ||||| <br> 　|'|||||ll,　　　　　　　　　　　　　　　 　 ,,ji|||'¨　　　|||||||llllllll||''|　　　 ''||||ll,　　　　　　　　　　　　　　　 　 _jii||''¨ <br> 　　　||||||　　　　　　　　　　　　　　　|||||¨　　　　　　 ¨¨¨¨　　　　　　 ¨|||||　　　　　　　　　　　　　 　 |||||'¨ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:13.85 ID:ErklxdxS0<> あくたんか　さすがに空気変わるか？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:14.17 ID:5a/Z16Zz0<> マジかよ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:14.27 ID:ljS8d5+b0<> IGLってなんだよ… <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:13.96 ID:NDk/c+9c0<> 一番気楽なやつ来たな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:14.44 ID:Itway70l0<> 苦しめてるのはホリメン扱いして叩いてるお前らじゃないの？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:14.21 ID:RtPH3Rdy0<> ( ^)o(^ )母よ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:14.62 ID:5GGjMZ2V0<> あくたんとはレア <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:15.18 ID:Cszs8eTa0<> あくたん泣き声じゃん <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:15.21 ID:MgmYPoTv0<> 一瞬誰だか分からなかった <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:15.39 ID:aEhXMnRg0<> あてぃしがきた <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:15.76 ID:rnblwqkr0<> 何の悩みもなさそうな奴きたな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:15.83 ID:0uolBzVO0<> あてぃしどりゃあああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:15.70 ID:P4QIPPZ+0<> ( ^)o(^ ) <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:15.94 ID:V6XwhOQj0<> 図太い人きたあああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:16.55 ID:cSwPsDiE0<> あくたんどりゃああああああああああああああああああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:16.59 ID:Xbr5GYZO0<> あくたんどりゃあいああああいあああいいあえあああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:17.23 ID:K4Dli+me0<> まじで最初わからんかった <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:17.29 ID:yNKmRPuT0<> ミオしゃ特大張り手頼むぞ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:17.29 ID:I0ZbiEAL0<> 予想外の客がきたな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:17.28 ID:8iYuc74i0<> 先に浄化しろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:17.56 ID:jz/qCOba0<> 配信しろ配信しろ配信しろ配信しろ配信しろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:17.89 ID:HswHl8kp0<> あてぃしどりゃあああああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:18.33 ID:S8XKcpBp0<> あてぃし！？さかまたは？ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:18.34 ID:I2nieSF/0<> お前は大丈夫だ！間違いなく <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:18.41 ID:oY+Yd0q90<> ( ^)o(^ )すまん <br>  <br>  <br>  <br>  <br>  <br>  <br> ( ^)o(^ )ヴァロ参加しなくて良かった <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:18.58 ID:qFJzAeWP0<> こいつ泣かせたら本物だよみおしゃ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:18.77 ID:3f0fjY4N0<> 余裕そうなやつきたな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:19.59 ID:Vo41aTmH0<> まつりつえーな <br> https://i.imgur.com/p3Yas2r.jpg <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:19.86 ID:wH/ubh/C0<> 悩みなさそうなやつきたな <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:19.92 ID:AtosuQtf0<> ホリメンじゃないから空気が和んだ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:20.14 ID:AKD+sPj40<> 一瞬誰かわからんかったわ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:20.13 ID:gML6ZFXO0<> お前らの悩み <br> →顔がブサイク、頭が悪い、家がない、知的障害持ち、病気持ち、彼女ができない、仕事ができない、仕事がそもそもない、金がない、ホロアンがやめられない <br>  <br> お前らの方がよっぽどしんどいよな <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:20.17 ID:kD9KLW7P0<> あくたんどりゃああああああああ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:20.42 ID:/+3HCPmg0<> 今北用【ホロメン2023年人事評価】 途中経過 <br>  <br> こより（通常占い-下半期） <br> ・失うのを怖がってる <br> ・不摂生しがち健康に気をつけろ <br> ・仕事や数字が伸びてるからって驕らないようにしろ <br> ・いい流れが来る、臨機応変に対応しろ <br> ・長期休暇はしない方が良い <br>  <br> かなた（通常占い-下半期） <br> ・焦って自棄になってる <br> ・冷静に判断をしろ、復帰は徐々にしろ <br> ・仕事運は素晴らしい、カリスマ性、信頼、絆を感じる <br> ・周りの期待を背負う存在になる <br> ・運勢は悪い、チャンスを物にしづらい、実力で頑張れ <br> ・周りの噂話に振り回されないように <br> ・他人の事を信用するな <br>  <br> 団長（ミオスプレッド-過去一体調が悪い4年目にしてピンチ） <br> ※周りの人を大事に、と言われ占い中に泣く <br> ・周りとの関係は悪くないが心の拠り所がいないので求めてる <br> ・頑張ってきた反動が出てる <br> ・周りとの関係を大事にして <br> ・悩む時期、自分のやり方が合っているか不安に思う時期 <br> ・周りには評価されてるのに自分一人で焦っている <br> ・自分に自信を持って <br> ・単独行動しない方がいい <br> ・自分の気持ちに嘘をつくな <br>  <br> 天皇（ミオスプレッド-メンタルやばい、配信内容） <br> ※最後の方で涙ぐむ <br> ・目まぐるしい変化の中で戸惑っている <br> 　&#8594;まだ言えないけど変化を感じる事があったと匂わす <br> ・周りがそらちゃんに何かをさせようとしてる <br> 　&#8594;ミオは知らないのに合ってるような反応をする <br> ・八方ふさがりに見えて逃げ道はきちんとある <br> ・近未来気を付けて欲しい事が起きる、投げやりにならないで <br> ・自信を失っている時期 <br> ・やりたい事、目標を見つめなおして仕事を受けろ <br> ・ストレスなく配信がしたいなら自由にやればいい <br> ・もっと人気になりたいなら流行のゲームをやればいい <br> 　&#8594;しきりに「どう活動していけばいいか分からない」と発言する <br> 　&#8594;歌で頑張りたいけど配信がそれに繋がるか疑問に思ってる <br> ・今の状況はかなり恵まれてる <br> ・変わっていく今の状況をうまく利用して <br>  <br> ロボ子（ミオスプレッド-最近の事） <br> ※開幕トワみたいになりたいと言いはじめ泣く <br> ※「ヴァロラントの大会メンバーで相談し合ってる事を思いだしたら泣いちゃった」 <br> ・現在孤立して焦っている <br> ・今の環境が辛く感じるかもしれないけど周りを見れば助けも逃げ道もある <br> ・本来マイペースなのに一度躓いたことで失ってしまってる <br> ・自分のマイペースさや自由さをコントロールしようとしてる <br> ・自分の欲求を抑え込んでる <br> ・素直になってほしい、自分が思っている事を吐き出していい <br> ・今苦しい時期、信頼できる人に助けを求めよう <br> ・仕切るキャラじゃないのに仕切ったり、向いてない事を無理矢理やると心配される <br> ・皆ロボ子先輩の事を何でもできると思ってるから頼られるけ責任を負わなくても良い <br> ※最後にまた泣く <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:21.42 ID:rjzf6wTJ0<> ( ^)o(^ ) <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:21.47 ID:7PbC6R2g0<> 泣かなそう、たし&#129408;～ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:21.64 ID:deWU8ci80<> お前悩みないだろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:21.70 ID:DB1nCWoE0<> 絶対泣かなそうなやつ来て草 <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/08/02(水) 20:36:22.02 ID:A6PCqVsU0<> ( ^)o(^ )母よ… <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/08/02(水) 20:36:22.10 ID:oAdjuCb90<> マジで誰の声か分からんかったわ <>
